,readable,energies
0,"[ 30.56864823   2.83688535   2.47597047 108.6223152  136.13396201
  64.11504038 199.22376367 209.61772699   2.26716518 -27.68713827
 -54.00947839 -49.47060595 -41.60901382 -18.35840102  52.81313319
   9.19452745  40.1740867  -22.73966001 -23.27630797  45.04655924
 -35.6109466   18.12776602 -17.20994569 -17.06184328] | 0",-50.0
1,"[143.83646196 141.07209316 253.59044388 178.54115856 149.10849373
 297.54462364 312.75892466  14.55887094 -10.90221135  21.19975288
 -45.84928063  14.10272188  42.49016286 -10.43162498  -4.62667111
  30.93686373   0.81387168  -0.81963636  37.93612741 -27.74196762
 -55.02940663  40.52744653   2.27111303 -50.29214793] | 0",-50.0
2,"[355.57735325  19.56798825 192.37689518 269.08920862 356.38069278
 187.4492552  118.02569618 341.75889701  49.80843735  55.99178712
  -0.46352054 -38.99135748  57.01559149 -19.52134659 -30.4242273
  -1.43169986  10.02643083   2.56829456  28.64112787  51.26904599
  37.11735848 -48.19448414  20.35080818  -0.76503583] | 0",-50.0
3,"[322.3335658  191.35389677 177.72604379 343.76623496  21.47232012
 119.78235253  35.78552282  41.78929666 -17.11493093 -36.25127683
  52.23397413   3.47563055 -43.77432722  34.84613616  49.27651588
 -55.09723724   9.36703754 -34.0321108  -40.35108764  17.62051519
 -11.58961525  22.64017831  24.97837062 -50.0415722 ] | 0",-50.0
4,"[ 24.06580954 299.83538713 287.90359306 326.33501847  19.39310467
 140.02833097 216.98924963  74.91940927  -0.54569796 -30.32401818
 -13.28456767 -24.13371528  43.48246641  16.96065061 -56.60186644
 -31.46632634  46.2394791  -23.16354838  -3.41579126  -1.3894927
 -21.79727832 -40.9233926  -45.02315901  25.62789429] | 0",-50.0
5,"[316.46954787 137.0543983  131.49634552  69.32960977  43.56575715
 104.04182642  61.39852388  92.53302597 -55.52011133  17.67706916
 -55.40027566  48.91587506 -21.47850656 -48.98187176  38.3440263
 -28.83617758 -29.20391497  29.26290731  39.17277414 -17.91681221
 -51.63701218 -14.640671   -22.15269746 -56.03788406] | 0",-50.0
6,"[122.67724625 350.97872348 279.05814292 102.78339139 290.50982933
 249.82640859 284.61171509 340.39788619 -44.21674248  35.39672454
  -4.27690053  -5.56574698 -27.39775682  48.07491485  11.34345523
  11.51156668 -50.45234319  16.35861042  -0.9557996   29.43827925
 -20.92036741 -19.77998195   3.44859666 -32.56457977] | 0",-50.0
7,"[319.36751517  65.33672217 288.24316275  15.28290344 266.56069991
  27.92558701 235.36733525  30.79957693   0.86467463 -49.19762037
  44.10039362 -47.4901926  -15.76784004  40.34594792  -2.81613139
  10.8498921   27.00923175 -28.45030263  53.34197425   4.34893854
 -25.73301432  46.89519775 -22.66797376 -41.96231902] | 0",-50.0
8,"[252.03040135 262.33620059  36.79165408  48.4327348  126.32322855
 262.18437914  35.85795356  23.78543028  40.60403345  27.42372861
 -46.0475542    3.67139743 -45.51163365   3.94552025  20.77227866
  53.40400603 -23.02244692  22.60722947  51.4925571  -19.92992168
  33.06594981  41.4302063  -27.49355364  13.95218451] | 0",-50.0
9,"[239.31515727 128.48704614  44.29711331  65.12345634 180.52080693
 259.65379405 276.85712812  83.12689926  -9.29979774 -51.57102572
 -31.56888163  11.54675581  -8.87198885  56.48215372 -33.24188182
 -49.39166945  48.33008389  -0.41132765 -13.67927406 -31.6987645
 -52.22710979 -34.76178333  44.28142096 -16.08236   ] | 0",-50.0
10,"[ 3.33891202e+02  1.21872213e+02  7.58867007e+01  3.07110713e+02
  1.16551509e+02  5.26566501e+01  4.18418516e+01  3.93067176e+01
 -5.35583820e+00 -2.27173629e+01  3.40376672e+01  2.49753175e+01
  1.34000388e+01 -3.25746475e+01  3.91729790e+01 -4.41420168e+01
  3.98464903e+01  5.59639404e+01  4.98090794e+01 -2.95818396e+01
 -4.18591763e+01 -3.29053960e+01 -2.28124220e+01 -2.54981207e-01] | 0",-50.0
11,"[178.57785034 240.65521307  76.73539265 103.59830809 279.98275929
 358.79478216 350.85277479 315.26639639 -44.61077268  -6.09406895
  26.46573311   5.51070591 -33.43556208 -27.1376837   24.45495274
  29.96124634  -8.75140186 -15.23161896 -54.15982793 -56.57272886
  24.26857054 -20.16551881  32.35997463  40.61395088] | 0",-50.0
12,"[238.09263537 333.59045521  22.34094772 143.14065693 290.95275343
 124.10767911  36.64561097  20.21897187  47.76511113   6.85199113
  49.86955389 -28.7360675   -7.85553375  28.59852798 -35.86187409
 -33.16306144  47.60408942 -51.72073664  26.39377707  15.24661464
 -36.68396932  22.79373462 -14.95608913  36.48952749] | 0",-50.0
13,"[253.74762019 350.8939745  246.4123522   96.961625    30.03195587
 104.29429753  20.08873724   4.20210313 -56.0324848  -44.32311585
  -5.37045139  14.25724125 -32.83406489 -28.32577462 -49.49579227
   3.61733649 -54.41367532 -17.54075224 -22.46607337  42.47496569
  36.76865    -22.30378807 -21.78115907  12.51561131] | 0",-50.0
14,"[ 56.50691315 310.91739638  48.93211384 351.9778982  190.96586006
 175.78710335 102.20697123 132.19115335  44.34574768  22.23775039
  -3.27069756  53.32004251 -57.05006687   9.55780472 -46.42424254
  48.46803322 -54.16794219 -34.01893537  26.16129792  -9.45779026
 -43.52939322  20.08027122  55.52771674  -7.4654958 ] | 0",-50.0
15,"[314.91108995 329.82398838 359.39272424   6.95486574 182.46806654
 318.2880994  352.51991469   2.35251523 -19.89346896  44.32662998
  45.01142474  -1.06791374 -29.20061598  31.88241463  28.04382783
 -51.86028765  18.89734392  16.97022654  52.53213921 -33.72345114
  15.67380882  46.06698267 -15.57464131  32.79731847] | 0",-50.0
16,"[ 1.61468349e+02  3.51692758e+00  1.16459042e+02  3.15149764e+02
  6.99400579e+01  5.79253385e+01  1.44847999e+02  1.86516743e+02
  5.07784198e+01  3.10816979e+01  3.05324824e+01  2.62721792e+01
  2.30939146e+01 -4.90357995e+01 -2.93057360e+01  9.28347701e+00
 -1.56274728e-01  2.22372996e+01 -5.54800728e+01 -4.82061979e+01
 -1.68919457e+01 -3.24337885e+01 -1.18601454e+00  1.01486161e+01] | 0",-50.0
17,"[ 1.96847855e+02  1.64138789e+02  5.54300929e+01  1.82816898e+02
  2.99401260e+02  1.22079183e+00  2.22095663e+02  4.78286695e+01
  1.89340357e+01 -1.21128112e+01  2.16041752e+01 -2.70721036e+01
  3.79750322e+01  3.89608743e+01 -2.56113243e+01 -4.27995226e+01
 -9.63261579e-02  4.50653559e+01  5.25725125e+01  1.16445026e+01
  4.54852623e+01 -5.96054558e+00 -3.32810188e+00 -2.90572571e+01] | 0",-50.0
18,"[197.53856476  70.08340311 133.6040053   10.17426942 136.40682807
 182.77752876 344.21008798 110.96074658 -30.33812935  31.15318265
  36.68881875  23.56578505   9.97699392 -52.09959016 -37.54016085
  28.69874051 -46.77449123  29.22315561  24.34941949 -16.39035372
  -5.08229253  46.23017638 -39.30966479 -36.24530725] | 0",-50.0
19,"[343.62687178 352.5845556   61.58708492 275.2091674  249.44818004
 295.40748477 301.94416705 225.51310715 -12.63675496 -52.24916447
 -52.66348033 -12.94793497 -30.51986702   0.80232183  48.5194782
   7.25802539  50.33879471  16.42545748 -17.34746472  10.62843005
  50.70874508 -48.31487306   1.24255484  28.24176671] | 0",-50.0
20,"[ 2.51166990e+01  2.77923621e+02  2.30916538e+02  6.15164334e+01
  2.28086586e+02  2.51625071e+02  2.46157122e+02  1.10917853e+02
 -1.16702730e+01  4.59213562e+01  3.36387158e+01 -4.47449483e+01
 -5.23147958e+01  1.89259624e+01  1.79657130e+01 -4.63225786e+01
  8.49397544e+00  1.48157048e+00 -5.96412118e-02  5.94417020e+00
 -5.30658365e+01 -8.23410723e+00 -4.42730471e+01 -9.72837504e+00] | 0",-50.0
21,"[ 99.35129646 104.26611617 121.27159332 342.12851953  56.97183389
  12.28174649 258.4018477  344.61907971   0.98882015 -46.19385343
 -30.99126619 -23.06713002 -33.95353289 -26.86827714  41.47859819
 -23.63422013  55.15810106  15.32566042 -57.09876954 -17.573322
  46.0035507   25.50159727 -50.6488853  -20.30725889] | 0",-50.0
22,"[ 10.9633202   95.77080884  38.73227816  64.71329665 101.7698801
 321.74827323   8.57691443 283.69879201  -2.40234146  -4.33898012
  49.40628264  41.66391488  18.82560645  -9.18900525  27.79454641
  37.36386684 -36.84388795 -22.90872427 -51.80858312  44.77514801
  19.63175318 -55.37671492  15.54051768  -2.10924779] | 0",-50.0
23,"[113.38143392  55.65320098 312.90812331 163.95992046 170.60931452
 103.03214004 303.96980992  85.87208206  32.17919318  49.18793516
  17.82550283 -36.70733539  -9.78547542  30.82620101 -39.81628041
 -25.89381746  30.49923302 -23.91938053  40.88819664 -29.18169295
 -12.21952944   8.30751128  30.75585006  -7.41806697] | 0",-50.0
24,"[292.00080498 274.97535636 311.34215218 172.92373778 355.89919176
 115.90915716 333.06185321  81.91233453 -56.9398447   48.66388889
 -51.1098616  -45.95052111  27.47322699  12.48452029  42.90694784
 -32.25812968   1.60447291 -53.4480266  -47.09350546   9.12445654
  23.48850146 -42.09802121 -14.45567191  -9.57052254] | 0",-50.0
25,"[326.32124881 217.08789122 214.67162984  89.91280148 254.14035607
  75.57759362 122.63379259 244.3696885   34.03774912 -54.39116302
 -10.3036204  -48.04981732   5.79945215  15.48375881  34.83477073
 -12.57679615   5.19905803  15.67270233  48.81734958 -29.75042231
 -18.2857278  -55.96732479 -49.04104852 -30.11126462] | 0",-50.0
26,"[ 46.85223244 162.15677784 133.31965086 315.89971885 123.05155428
 138.93637496 249.33244931  33.30498594  55.61094943   7.31334309
  40.90390607 -32.78893441  20.74314108 -45.25465461   4.3663965
  28.43579189 -43.77080284 -53.91360302 -32.04101845  19.07341254
  20.16977402   5.79850959 -10.82909759 -15.25408345] | 0",-50.0
27,"[292.80572911   4.91456828 323.37227365 196.86680199 150.39389435
  88.83335155 282.220903   303.4292141  -54.85618962 -11.82563926
 -49.52424343   4.47409493 -49.28533365 -26.76254922 -41.56409167
 -14.71505176  25.9480116    3.90419077  44.35626617  54.19549518
 -10.87995518 -18.49494674 -21.28559811 -43.24556471] | 0",-50.0
28,"[350.00733398 265.69659902 231.84131839  11.58775317 277.84777876
  21.41632964   7.44906407 179.39725448 -57.17953311 -13.79998399
  17.4969639  -23.28171065 -37.33112291 -10.56771308 -17.59926989
 -27.69949067 -55.78470261 -45.58005507 -34.17509057  33.04470109
 -20.7817658   12.96355561  51.52213182  41.96294739] | 0",-50.0
29,"[105.77087515 348.95362704   2.62813214 233.99528685 341.42602091
 248.70546527  29.36322913 330.24770599  21.46000358  20.99694407
  12.2586596   35.91344201  44.70423699 -45.0588809   51.13409511
  -2.30815315 -56.25747465 -39.37739977  27.98469888  53.44074561
   9.03461906  23.45836667 -29.29683286   5.42778058] | 0",-50.0
30,"[ 7.51213028e+01  4.37350263e+01  2.53529792e+02  1.40949341e+02
  7.98074546e+01  2.33598726e+02  7.16193829e+01  1.63466207e+02
 -3.91508014e+01 -2.32647581e+01  3.40364719e+00  3.71161086e+01
  2.49288244e-01 -2.53242412e+01  2.17293657e+01 -3.03338707e+01
 -3.17568826e+01  5.20277366e+00  2.88207823e+01  4.12343984e+00
  4.34622969e+01  5.13345407e+01  9.43867256e+00  2.30984567e+01] | 0",-50.0
