,readable,energies
0,"[ 953.27234502  937.55416729  789.03765971  887.42932142  836.65446012
  838.89295899  720.98542509 1018.53267152  -43.49517056   -8.29734112
  108.69814396  -86.15132068  -45.28974812  -15.59154603  -45.80940257
  133.44577714   42.90633312  -37.09602438  -30.13605479   36.97421479
  -81.04636899  -52.77593598  -55.45565142  -99.48048949] | 0",-50.0
1,"[ 708.68398119  896.03923933  726.82255939  716.43821299 1443.87619975
  600.15637339 1158.26806934 1091.08600081   15.72278128  -37.98753141
  124.5422294  -162.77592083   24.44319457   76.04208746 -117.70317465
   87.79844812   35.37757269  -58.89297827   64.60091955  -72.67148473
    4.27594431   24.63629085  -56.19984834   35.0520288 ] | 0",-50.0
2,"[ 8.69812406e+02  1.19641462e+03  7.64180744e+02  8.81461375e+02
  1.41367168e+03  2.39447608e+02  9.32629656e+02  5.47804777e+02
 -9.63011525e+01  3.99563847e+01  4.29484617e+01  6.65316638e+01
  7.75436294e+01 -4.61741859e+01  4.21187133e+01  6.15619293e+01
  1.68364163e-01 -1.24921674e+02 -6.57590737e+01  6.17223158e+01
 -5.89138513e+01  1.59700027e+02 -5.08995771e+01  1.23124064e+00] | 0",-50.0
3,"[ 7.86839814e+02  6.48634379e+02  8.90830264e+02  1.29860846e+03
  8.20486036e+02  1.09935851e+03  5.15548252e+02  5.82978393e+02
  1.03308995e+02  5.79790580e+01  5.84214630e+01  5.71431077e+01
 -2.96691635e+01 -2.25947405e+01 -1.34808236e+02  6.91430158e+01
  1.45386246e+01 -8.26794399e-02 -5.78506573e+01 -1.23593742e+01
 -6.31298949e+01 -1.05187905e+02  4.10511376e+01  1.59723564e+01] | 0",-50.0
4,"[ 796.63343113  628.01966565  664.80564384  921.71315544 1273.75028503
  956.56679115 1008.96822103  706.38903762  -20.74398119  -95.7541705
   -3.67955951  -26.76830707   26.00287168  -10.20104803    3.99019993
  -56.69281383   53.96396542   21.05837821   27.77920581  -94.43286358
  -75.12639132  -14.20845321    5.49748607  162.99924069] | 0",-50.0
5,"[1221.93548644 1041.47992147  845.81609338  751.90208512  975.71492596
  914.10705678 1383.81086049  484.52957625 -108.98464308  -12.2741573
   15.07077484    4.34576592  -25.19998977   20.60422869  -15.13880352
   -9.99697223   84.61476034   83.73749085  -75.96905908  -12.45426939
  -55.04712414  -27.92134204  -20.37035618  -86.36835677] | 0",-50.0
6,"[ 975.6206147   856.52364434  911.23362351 1349.71160551 1386.90794146
  540.37473287  746.22193588  845.24011719    2.78966099    9.61406499
   30.31231465  -65.57090886  -70.47258729   72.34951644  148.29734047
  -26.66912931   17.18813348    1.66798684   88.01768353  -75.00924675
  -56.93168262   -4.1788839    -3.09157243  -32.98194531] | 0",-50.0
7,"[ 6.71381258e+02  1.51806036e+03  7.84880424e+02  1.42235400e+03
  7.32825421e+02  6.85374950e+02  1.14812540e+03  6.91734238e+02
  9.89182830e+01 -6.38926699e+01 -7.46108555e+01 -5.94901280e+00
 -2.31720212e+01 -6.62904830e+01  5.47540817e+01 -8.14703598e+00
  5.16184546e+01 -1.19344920e+01  9.50847710e-01 -4.89625423e+01
 -5.33156985e+01 -6.34747101e+01 -5.89230038e+01 -1.01654149e+02] | 0",-50.0
8,"[ 849.51444957  756.12958973  622.97439616  873.20099919  420.87188534
 1071.27113026 1214.19912241 1148.09141532   72.6994407   -68.32516215
   56.09062337 -132.65571549   64.25949888   75.00589313  -18.77112544
  -58.12398776  -91.18107882   39.09399815  -78.83271834    6.25366656
   24.69968866   88.0440344   -12.86678549  -40.76250749] | 0",-50.0
9,"[ 859.15567139  753.51750682 1072.46614015  634.88651928 1177.00825061
  885.57577201  755.93009356  553.20139099   94.76339009   45.76290606
   16.93089148   29.4942185    84.70317031  138.49601901   58.24035369
   50.90728502   19.52541738   -7.88127332  123.71637757  140.15545445
   63.55884442  111.64254972   12.77831405   63.89868048] | 0",-50.0
