,readable,energies
0,"[336.72768769  98.82255464  97.24059271 189.72010092 155.15722
 336.02379478 352.61759913 333.94499852  24.98456057   6.84593139
 204.02036872 213.19912666 131.44769726 121.61181505 129.710629
  72.35975172 118.10371243 303.69800848  88.82194927 229.79616666
  73.42069959 324.36570282 173.03450162 221.9323213 ] | 5",-0.26236492395401
1,"[269.73167351 245.50399989 110.83559066 349.63175463 144.43313453
 303.89069265 320.48400069  78.20108342  87.92752775  69.06847937
 196.6669534  160.34873481  80.95786248 162.54109253 109.39659273
 119.18375383 277.17987367 287.24562181   3.71983668  60.81964897
 259.47632025  62.90985985 252.94590899 261.53397575] | 5",-0.23165354132652283
2,"[ 71.37953396  39.26529132  78.82154418 128.9993249  219.94454134
 352.1701434   94.23403357 156.99080888  19.45971619  54.15550623
 167.54565685  43.50725409 195.87851189 116.01205349 284.61501816
  18.85809404  10.27511621 146.58975399 114.04064508 115.8415046
 153.81849022 120.81969799 284.70902619 106.99460828] | 5",-0.2306862473487854
3,"[271.74967658  55.45020141 130.69679538 243.97809009  48.70591778
  12.24643631 241.48560105  39.81910404 292.83954037  23.70624698
 110.14475893  52.48547763 135.45415418 106.65095688  21.81014005
 231.64261088 290.4421649  201.42274308 307.74865579 177.72286545
  30.99116921 119.93839232 153.26132161 235.7647184 ] | 5",-0.09395773708820343
4,"[  6.8277986  185.79395795 148.50508479 115.32878323 176.49207542
   1.41196492 138.58243093 148.5612854  311.03890728 340.9486863
 217.86352111 199.94051642 245.82596499  40.5938961  318.14774447
 321.2605285  320.80674623 311.21744841 208.00609833 211.88071618
 346.07346649 222.02704327 220.84512456 272.50438515] | 5",-0.15418726205825806
5,"[304.35451713 239.1060811  298.85957894  51.99986576 278.65981175
 125.18292938 276.22894836  48.65565941 172.62171501 180.41741337
 189.33367891 257.63413261 253.84350513 356.10405552 258.02451801
 186.89440069 100.32814418 228.6079141  197.06966682  12.92246292
 122.35074227 153.28868424 143.23199113  71.54355685] | 5",-0.3761322498321533
6,"[126.21215601  49.43181117 287.57291539 287.12265474  77.08281571
 151.99468306 149.82980359 210.65283579 114.65510347 207.42670519
 236.62831568  22.80333696 247.63894854 159.99381268 138.55434243
 147.50442746   0.45095458 210.17958928  94.73500156 206.82810289
 104.97447691  52.79961623 157.21222357  64.54587869] | 5",-0.31951814889907837
7,"[188.4658642  281.33384809  66.26308387 175.23494814 177.72840707
  98.90649588 103.63902468 203.26669333   8.18851071 303.24739355
 221.60866959 138.50349488  47.46784947 161.79919558  33.04990116
 159.12350174 352.65078293 335.792694   147.8925015   64.10830671
 159.46478264 105.00417549 245.11976711 263.14392056] | 5",-0.2711022198200226
8,"[115.65235571  39.51949001 247.07051741 159.9876227  206.15202344
 247.75803425 259.54452925 116.0682787  239.09176732  15.27189407
 312.28862515 174.6861324  330.92071093  18.00328309 231.92134999
 177.94689387  82.97556413  52.43396068 174.50858755 219.56641934
 188.24958308 173.27681849 158.69803926 169.68487027] | 5",-0.3361166715621948
9,"[ 41.4439623  239.07216008 112.73006017 274.30227673  62.01272184
  35.78853651 139.30615048 122.17895299 148.71998892 125.3893641
 186.375024    88.81852138  77.83922727 155.80163013 314.81810555
 201.66918724  52.69139691 225.9082518  294.67481131  90.99674063
  13.63359399 357.34687676  27.97301516 252.52339711] | 5",-0.2300400733947754
10,"[1.15158273e+02 1.74007788e+02 1.07485309e-01 2.32623038e+02
 3.24656529e+02 1.77343840e+02 9.55155565e+01 2.09882012e+02
 7.30782722e+01 1.93625652e+02 9.78327437e+01 5.88216829e+01
 8.57251333e+01 2.10492215e+02 2.09690031e+01 2.06677398e+02
 3.37707627e+02 2.95636735e+02 1.63455745e+02 7.17237946e+01
 1.07628807e+02 2.80977571e+02 1.31740991e+02 5.14583474e+01] | 5",-0.24438685178756714
11,"[123.31673318  73.88326912 167.27985777 271.36399309 249.17991752
 229.60219386 110.17969576 213.62236522 265.7054965  347.29401951
   9.93661383 171.78982529  56.37677208 342.95051274 355.16487175
  26.77184717 246.79966398 117.85720724 162.83207042 351.59054176
 256.50445849 303.24141758 133.82167705  92.31876839] | 5",-0.13127364218235016
12,"[227.92307474  93.44623321 143.01228852 252.38781422   7.61283598
 244.34658969 200.39678853 264.71125222 192.32622153 125.16221931
 220.85769936 248.53048583 186.63467681 146.09384588  86.47203176
  32.84670958  99.15995965 313.45256315 287.0537263  351.25300751
 219.29789365 324.02110793 329.68483463  12.18307491] | 5",-0.32917121052742004
13,"[218.94882088  13.4582029  141.9224326   83.128401    58.43518621
 347.48503894 312.01457338 227.36178708  97.36724808 150.44064471
 185.21717853  58.91935102 196.74091888 128.54391884  89.65804817
 349.70075687 174.97746093 325.53436823 215.62254972 181.94525202
 164.89957964 101.65058541 223.06689764 250.53320477] | 5",-0.09506773948669434
14,"[ 77.13073083 260.78293906  29.05525954  90.58555052  71.07507236
 229.19219129  72.67281935 214.52224268 223.42110307  60.25216134
 275.60076762 312.59195022 235.50796796 143.13839297 153.92516954
 239.38999612 305.56063202 124.65579726  71.21106049 315.12074125
  43.18889717 284.29762475  91.5387435  196.02410236] | 5",-0.20776866376399994
15,"[167.75313113 251.03262366  60.58148846 330.05512835 170.15726982
  45.08695115 332.32313093 315.06350606 340.52189781 310.98277947
  66.02553172 313.64327478 116.36070644 220.36956486 343.59970312
 279.87145636 257.02604632  85.70651506 316.80037492   6.17558657
 209.08110908 178.84077256 134.82630864 106.3109555 ] | 5",-0.5106328129768372
16,"[334.06948734   9.28922121 329.50063629 319.0140101  181.46339945
 324.97530812  69.88394289 266.79128709  53.50372677 102.63645305
 202.97536256 141.54877933  49.33192098 114.62206631 199.7482375
  81.84232008 353.60491756  66.37377665 238.85740438 347.2736364
  78.3162923  148.98677702 290.56506461 358.55916249] | 5",-0.7097672820091248
17,"[155.71563625   0.56180672  22.60014793  13.40372536  92.67579607
 147.4194936   45.83158841 107.66719246 110.85702015  49.13413876
 323.59431492 135.86271515 204.12461657 324.94946996 240.76037702
 255.81261316 109.32375742 116.82825196 322.89326974  91.51277054
 268.97024311 292.99095566  57.99340228 118.94507337] | 5",-0.22233349084854126
18,"[344.23077343 211.85085188 258.66538098 356.05171079  20.56580339
 291.51694164 166.20257757 192.55846074 291.99459769  26.46443218
 254.81157879 290.22962221 115.72116757 113.7959367  285.02246265
 101.76139472  72.64887637 256.4932679  136.57259222 191.46067632
 121.02456541 102.14914547  13.66734878  44.80989043] | 5",-0.3761679232120514
19,"[288.92921791 301.6324518  136.27072152 245.03718559 297.93042277
 188.11266694 188.30879898 355.72982034 198.13965144 294.00341646
 139.36968761  86.93198308 285.15699368  90.92813918 279.16734763
  46.86474287 229.73717753 148.65548552 205.59621359 309.69545822
 138.72552249  61.25073953   1.98055723 257.51449868] | 5",-0.18198886513710022
20,"[153.74226846 216.72403977 168.01448376 241.59403258 172.19661499
  95.71492787 208.15524505  26.8630402  256.57362825 232.1911953
 204.10811937 247.20172808 205.79424811 350.43118457   2.16762248
  58.53471115 155.4508626  114.59938279 170.65799191 275.87998941
  71.89661024 248.70704668 175.08452369  13.29954584] | 5",-0.30581754446029663
21,"[ 71.77782961 318.79738655 244.58995845 269.42714181  64.04956253
 280.07116651 224.52653733  85.63306505   0.39335153 351.95881101
 190.02519638 127.76653584 204.04818129  38.36220374 257.06559859
 326.29677851 280.79205475  31.4526259  161.22645236 205.01527053
 138.71607133 185.54041587 325.53526524 226.96110907] | 5",-0.21300549805164337
22,"[348.46357827 344.81618077 240.50865267 346.08808947  21.65202114
 216.37147632 176.99349415 283.61514859  70.97537165 293.96375398
  31.544675    21.37202801 167.48248398 245.86026709 302.05834778
 273.96343742 187.64689993 145.16708205 258.77840604  70.01669536
 235.37566717  19.63589956 105.2268688  271.31942475] | 5",-0.09169016033411026
23,"[ 19.73684247 304.59667328 113.67144418 174.71487661 313.45218615
 197.79489536 327.11684747 258.13704217  18.9129304  302.56581898
 152.92340483 312.64284604 104.20800762  22.10107602  91.82823605
  42.96533047 319.42679211 114.70920677  32.3569138  227.70242046
 143.14178071  17.94128774  91.02803295 123.69893598] | 5",-0.8395622372627258
24,"[240.60821818 248.68983599 223.22452111 335.44381339  95.20393595
 274.91233282 124.16763814 317.37677912 110.43367317 342.86005738
   7.46903043  78.39684027 332.22279451  74.90728387  38.32343192
 126.81314889 116.44685514  79.41394194 280.00913294 269.60866361
 209.88152324 186.82162366 155.09139974 246.53337947] | 5",-0.32552406191825867
25,"[257.09257238 101.09509795  80.09254494  40.37872598  66.11200647
  46.04776298 100.04736786 220.44964202 109.18689773  73.32614332
 166.81147345 131.8481294  323.77481951 178.75961168 184.71368791
 294.49713531 207.18213709 323.51137909 208.5395789  132.04422688
  31.02704773 250.15627668 297.2552832   90.97899946] | 5",-0.3372385501861572
26,"[189.59443002 175.22047357 320.99482232 342.92755602 293.35330451
 105.14242579 111.01329487 328.71942112 308.99164093 146.82843089
 112.23858163  61.88329882 351.02311241 153.41442075 119.46522318
 194.48558948 113.05765426  91.89838484 317.95449838  37.93762093
 326.65091745  67.2219377    5.99498271 273.67212529] | 5",-0.8386306166648865
27,"[107.51743648 295.15231345  93.93446967 296.11934892 344.28624278
 110.06404884  14.41301693 359.31501672  30.69077835 135.17826099
 271.77238926 102.18569067 277.83355285 147.68403594 184.56741351
 166.38657919 334.67479055  20.98369625 192.43542536 353.75617072
   1.28211028  84.96077595 247.56901741 117.30861465] | 5",-0.3481641411781311
28,"[ 21.93225652  71.03649451 163.53699061 146.48239161 151.00602043
 101.19242267  55.66496165 202.41876407 214.99718399 156.24927712
 123.61970671 144.24523056 281.84175918  87.82703109 250.41590037
 252.01417189  36.42031353 236.8416762  269.52457856 153.41455187
  54.17416813 101.75578852 118.44298704 119.17010258] | 5",-0.19597092270851135
29,"[ 28.31415305 350.20667262 321.63941279  10.44084756  91.44582285
 275.55489972 299.31090236 347.00284849 188.54073585  11.9444554
 238.13403541 297.43853533 192.89380664 112.69545478  71.521264
  87.70942889  44.39036747 279.69523652 234.18641012 256.23816123
  35.14166479  88.93011394  65.03945277 290.05485128] | 5",-0.09655435383319855
