,readable,energies
0,"[ 72.74033987 194.38653628 279.37587784 200.62997214  42.4588246
 121.84999106 275.20649175 101.43279886 116.88663647 126.12132999
  84.00699735  62.33947077 272.94568641 232.29851396 275.29870479
  29.60922252 214.47598225 199.8467607  228.15013389 233.38547844
 281.79022767 159.49542288 189.26167596 231.78489829] | 5",-0.19118602573871613
1,"[ 13.52614782 207.6279672   21.61114928  85.78490197   2.67438516
  80.23652256 310.19746439  59.7738705  250.60455927  61.10847943
 117.13304055  29.10539222 305.08584916 183.62346134 358.87762143
   2.67623296 219.15809333 252.20317052 315.6877799   39.46323019
 144.33496012 272.03264312 161.93806697  36.97045341] | 5",-0.09962271898984909
2,"[266.90334682 299.98847353  22.93594915 161.17171977 326.00387448
  49.29890842 318.8750576  172.04039852 356.84812358 271.97876112
 222.54051503 151.72542701 322.99141047 329.67013522   7.00534257
   0.91543112 252.00813309 237.91587826 245.28450494 216.95999551
 227.62932378 213.71825291 170.843315    57.58868351] | 5",-0.30213868618011475
3,"[210.29786356  96.17954375 177.71273949  46.08161069 220.84714081
 157.33619425 123.88271638 320.93182429 131.95928756 241.06339156
 206.93131066 319.40670771 214.8349105  347.83546402 125.23782773
 265.4923782  152.0474695  237.57650257 274.35317076 223.62405803
  34.23091916 333.70732249   8.41755154 244.72131576] | 5",-0.5336812138557434
4,"[282.40391108 141.27466472  73.63331605  69.58423787 317.49687846
  93.1526234  115.87692597 249.24708747 148.47751359 309.10512136
 111.17414398 145.13109425  29.02049296  64.5442021  233.67495374
  74.9257345  194.68460388 310.485967   184.49028519 252.4063113
 230.27520066  71.56217135  70.99033884 229.48469821] | 5",-0.07464370131492615
5,"[104.94681647 333.96311856 107.65986502   2.11783858  81.43278377
 331.93055897 200.63398736 104.70937088 285.59169785 252.73000581
 315.10114315 141.0349014  315.0167903  342.30958967  37.52482888
   9.44592395 131.13406864  77.52027746  46.91113257 199.17326581
 120.61052845  68.13323612 127.12010669 114.76349127] | 5",-0.27488020062446594
6,"[121.43478384 149.53360748 350.57273888 254.92614751 232.1727155
 203.07131667 321.78714432  86.8112335  262.50697989 307.10081873
 331.63950459 270.06875972 274.35041682 210.46458668 145.00396352
 252.65454406   8.80043558 115.939944   311.23286459 354.84194315
  93.34399076  22.73693022 266.52437422  11.24342211] | 5",-0.3368738293647766
7,"[317.25140327 164.23210987 306.83179945 220.0130418  145.46217904
 277.72517961 287.46762665 171.21431538 156.53159067 125.17305841
 196.68575004 201.2348637   93.5632425  242.91492376 314.3344271
  56.09663691  16.39064539  66.56032278 305.84899531 317.95065527
 154.11073304  85.23749328 247.26124268  75.5801449 ] | 5",-0.3273198902606964
8,"[ 63.65551891  84.39867319 285.00750635 323.00165298  27.55276547
  10.61432526  88.76124708 252.1163561  167.79399796 187.52657569
 268.53902412 260.78253655 288.88123174  96.25441263 206.02736429
 312.60009365 285.31612616 144.22397229 306.55662933 290.99894194
  71.67014305  34.4816272  164.34476519  78.12591306] | 5",-0.2354949414730072
9,"[325.5506532  104.5283663   18.84650638  14.74183499 226.19718519
 153.0324547  216.30229288 215.66766178  27.00398982 237.96204215
 127.89367119 331.23258102  93.71981778  20.31806423 348.16447699
 184.27848379 341.70634279  65.58720751 237.38200794 302.47745363
 207.81827178  78.86579195  42.77294592  48.04951565] | 5",-0.2102304995059967
10,"[268.81708022  10.7126217  126.87074106 188.8148295  316.42716153
 180.0004139    3.5538194  200.53996299 190.63444564 286.20713345
 342.10538158 239.96868254 250.99401942 187.55639902 134.91933944
 263.88950765 291.17993827 194.36713215  10.39767711 130.98765032
 214.58017908 199.78023556 162.11127969 103.24543547] | 5",-0.24145327508449554
11,"[142.48639675 308.26283424 237.80294247 178.37175895 305.37688264
  32.41080219 131.94283683 317.60112719 126.4782101  277.79345691
 321.06983328 353.10637113 117.37480101 149.95702635 141.14154707
 155.10028446 355.33812816 265.27925897 311.06756218 245.72756743
 111.00435278 353.69990453 270.50321896 286.98240819] | 5",-0.18817712366580963
12,"[ 24.46079619 269.17125196 101.19441074 163.53783483 346.00764989
  38.03406045 351.87698169 207.34947123 235.9992862  110.81547073
 282.38641485 284.32499374 203.91489335  57.86975857  77.04936142
  74.35953548 347.14294571  87.53807679 229.61463392  36.58538648
 194.1318467  238.61202753  43.98187391 183.99652717] | 5",-0.621597409248352
13,"[314.23379473 355.78815932 260.46762839 171.25257811 203.14767912
 154.3114131   47.61393356  60.1581105   15.52901794 209.42118057
  23.2335296  267.15834601 224.73060516  99.36744712 113.6516713
 158.51007245 307.68247488  85.98553379 102.23504194  55.11468973
 206.29782703 322.16091952 294.08430411  28.10747333] | 5",-0.26646003127098083
14,"[265.80032227 349.59824843  77.6002863  357.9656227  106.65170816
 268.49853474  49.60718949  45.90063977  61.06635631  54.01046035
  83.8472447  118.29373558  85.1040405  197.45643947 199.36831869
 306.32484095 193.9505216  301.38580184 284.78410359 287.77296342
 315.48789486  38.32018077 281.11830466 292.35944818] | 5",-0.20258337259292603
15,"[ 78.55951078  34.30250047 125.46740954  84.03620417 307.39071923
  45.10068257  72.81146765 125.06658665 158.64444596  48.79102647
  18.65779372  77.48550815   8.45274614 346.62030507 205.17242769
 302.1215926  131.34608772 329.10562461  49.36395096 192.15497144
 119.89719624  34.37220664 135.85315378 229.18019108] | 5",-0.3179522752761841
16,"[125.13032235 220.40114586  34.70176148 304.57991706 230.03260054
 194.40453337 222.83644982 164.08219815 311.88798262 254.05701683
 213.84257689  18.09075959  84.2280241   85.65538153 233.75610457
 219.04718654 321.07452514 219.77492773  38.32211958 208.96193775
 309.4550829  261.20257039 353.66766515 335.34907047] | 5",-0.17471438646316528
17,"[156.52475411 277.41175316 253.80797265  72.28676886  82.86968525
 356.63551435 195.58078847 260.44532195 352.31377324   9.36194453
  44.01708309  81.09830118  33.43548535  78.59048703 143.01752956
 265.58728775 143.04123486 233.37274972 138.47758657   0.9878858
 226.32841412 254.78424075  17.95103945 149.74408836] | 5",-0.2858414649963379
18,"[276.53488344 246.7618138  325.33206348 188.59419165   6.36028944
  74.22098828  99.26095172 256.57184604  59.68069946 353.11712001
  40.27210401 351.34431347 248.56962828  25.88873376 225.614469
   3.38653896 259.34843724  17.17842574  57.54794188 128.86267105
 343.09427274 330.59595184 330.54352516 122.04166889] | 5",-1.0000011920928955
