,readable,energies
0,"[114.33878739 156.79385082 310.61967299  95.44319014 115.1170337
 283.6373285   41.98654525  21.90090777   7.12181641 358.64398591
  45.52959294 296.63143646 142.16640968 353.13639119 344.90339953
 131.36060325 298.20779041 306.39951764 342.34159409  85.97436595
 268.75485628  14.78659817 322.78441657  92.03215457] | 5",-0.2806839346885681
1,"[ 23.78370588 193.77189301 239.01886913 287.02905473  28.31536245
 149.70895935 185.23432957 282.99168074  86.13039662  17.74643156
 350.71833845 348.75478475  82.3251826  168.42036454 225.17508841
 192.56148514 186.65180607  64.3845706   53.46161458 207.57543485
 227.70919601 317.40929265 204.5574675   79.57262999] | 5",-0.4209921956062317
2,"[119.37977116  49.07599565 142.87286343 178.17128653 209.4881911
  53.87024657 341.81528707  41.06156644 167.77298013 125.5022972
 295.71071601 320.68574805  53.46280119 250.18799062 119.87007218
 248.03781793  20.69648724  73.88786901 150.92514463 180.98360873
  56.47400576 286.14178857 148.81368548  33.17555388] | 5",-0.16219116747379303
3,"[203.70313833 247.74860584 244.34061011 261.642135   183.99170415
 287.70141218 271.045638   127.66097029 305.57317859 275.30944733
  55.91639368 331.97153735 326.80855639  58.58986539  92.28255382
 306.26552484  34.33327456 245.86902339 289.19783652 216.31504077
  39.11931378 219.27416919 141.1557639  329.3737077 ] | 5",-0.22338402271270752
4,"[ 34.60498586  81.17032235 312.113337    22.38467459 225.06804747
 304.74061226 330.24686906  87.87990406  87.33026871 298.88941505
 309.71291894  15.65262978 231.93100973  49.03751343 139.52412189
 133.04019959 346.22807833  47.1039479   82.18661899 106.66366011
  58.05341141 290.00123067 321.93984184 107.83357133] | 5",-0.17233580350875854
5,"[ 69.00854671 211.95152614 183.17544374 311.07963339 141.66450099
 299.92393919 181.18413666  62.00801811 224.98435034 281.23164024
 259.15592516 195.85854947  61.36758221 341.96681797 218.87356587
 328.96316415 168.16844988 132.87235818 126.82929092 219.28879947
 119.63935658 308.71995971 254.08312909 348.18502947] | 5",-0.6476467847824097
6,"[ 32.13531604 200.96807377 328.44815516 117.99401866 342.26933526
 242.83754776  11.81658518 132.57912353 108.87522981 308.93298967
 131.07319526   4.07806282  46.48465011 259.03040635  58.23062752
 256.99227332 229.46822018  49.40229383  51.73446373  72.0859003
 193.49873188  15.03673066 158.36199945 227.4243052 ] | 5",-0.2952725291252136
7,"[172.38352446 190.88893026 291.58750021 182.5295237  290.23499433
   4.69072622 301.57170682 295.65836401  63.90722321 334.900827
 356.73789345  16.67621468 100.53023947  47.54473737  83.10260109
 299.84067641 309.47225313 147.78429401 262.7908362  102.96005648
 310.86446335 236.33857177 175.88768288  14.89677282] | 5",-0.16707122325897217
8,"[242.42483676 183.43254209 289.03335371 129.19551435 218.1617527
 136.65856792  25.16045985 331.18885599 302.39887551 268.9070912
 231.57418695  70.45241865 152.11087914 140.52713604  84.82281336
 117.13098693 217.95962098 137.30339875  17.88202809  45.74591051
 329.77326009 254.53263389  70.00111071  87.46072081] | 5",-0.20526322722434998
9,"[228.84828852 330.29055769 253.33025283  43.42674983 287.64690451
  45.09092087  24.17968927  83.87239255 130.70864802 161.168077
 291.31022823 152.47453206  64.19463211 105.84271232 254.77576676
  91.73729072 262.62914556 212.50055495 107.26826162 206.05705832
  10.76574781 263.14551789 126.66995081 244.28882451] | 5",-0.30958759784698486
10,"[ 81.33415218  79.40112669 126.72651023 235.64750236 325.57253988
 259.30155392 345.81069454   3.39621503  31.97051816 157.28003189
 248.17353651 276.18026457 186.94564443 166.73330695 211.82441536
 342.63831847 219.06054455 228.8570175   85.13458871 142.6501355
 258.84774887  50.56288045  62.46747854 267.16597946] | 5",-0.3042358160018921
11,"[106.17148942 102.77857203  88.39044429 177.3279722   28.47497852
   9.90690798  25.25190329 168.22728513  83.52064237 213.28433828
 357.21287756  13.87383634  96.8819759  316.5266082  211.58003761
 266.41197937 224.16768829 228.27130147 102.89626619  58.76590306
 313.35372212  20.32143838 320.43124156 243.05178253] | 5",-0.8479586243629456
