,readable,energies
0,"[304.17465093  22.85101259 179.30652588 112.87847928 234.56497927
  17.88826544  15.26708472 290.78146276 341.41277399 163.66699095
 351.35550768  20.34778924 100.30160117 308.71518994 146.41051437
  32.00148532  99.45620133 314.04833142 358.66880979 337.96829593
 251.73629705 346.87304577  64.50548131 202.44380536] | 5",-0.18009789288043976
1,"[253.47441627 196.58004014 137.38859946 295.12148107   9.16870934
 292.46480386 237.164348   295.81505946 149.79053274 166.60713786
 175.4393511  293.33163    284.22172859  67.35675744 308.50966272
 132.59466726 110.70997982  86.13207321 136.90601927 331.20016586
  53.26656896 193.58327416 258.60416154 112.65827398] | 5",-0.27958980202674866
2,"[163.91765525  11.02680766 335.94986574 261.04423297 253.78596852
 232.07663571  88.23008875 143.58855341 268.82583334 117.2530242
 336.56245175 213.19668145  67.9412782  156.63614084  55.72912536
 106.27017564 347.8474952  290.15235453 192.01350544   2.92782889
 176.29439516 356.8335243  250.59456263 326.02325129] | 5",-0.2112453579902649
3,"[279.12842921 215.11242293 143.01330122 290.35507454 304.91074042
 292.84842144  12.31610149 280.37745907 349.94186343  37.02215247
   9.27815629 261.33789012 212.7897488   51.9197786  195.41006289
 197.85165061  91.16425606 159.49673335 130.82991031  36.96286643
 325.82165143 270.13534771  17.62104112   6.65355365] | 5",-0.200882688164711
4,"[329.43266316 117.6610597   50.71448244 200.38198981 139.02393799
 179.44240203 144.20141263 110.28870377 162.1523109  131.43490114
  53.30278262 249.45590179  80.91322129  56.87816809 159.7597949
 294.69852844 113.64438937 267.47848973 301.70255958  43.07311268
 274.07105662 195.43369535 164.65441774   0.36368025] | 5",-0.23426204919815063
5,"[153.51941624  25.10479743 272.67349063  42.26109881  58.23566818
 167.94599154  83.65147144 258.8856473  166.00781972 160.54742135
 142.05044945  34.1447577  235.88464376  70.68852372 126.77269598
 251.05262244 176.09511756 293.50896903 210.24323571  72.39288815
 243.47038846 300.34458137  51.67281262 321.26826484] | 5",-0.130342036485672
6,"[ 40.08622997 125.68845809  20.6795725   71.19903938 198.9747113
 125.45826705 121.37221566 303.09033108 199.96749295  14.74840015
 152.67651625 222.14164062 219.23154973   8.90301498 194.59153302
  96.94853836 237.41194236   7.39712219 336.56941854 175.92305508
 252.83340302 168.88723623 261.78437958 274.54523567] | 5",-0.22873978316783905
7,"[268.84440462 277.56768317  39.64153002 215.48845581 342.78764325
 177.84120078  66.8606125  328.41040241  62.74853809 192.91094767
  83.96348815 118.21113581   1.29690266 224.6086708   71.50926657
 238.98307712  67.97371477 210.04446719  40.26385587 125.07275752
  23.55670773 157.46226588 109.47058371 250.49284745] | 5",-0.35599759221076965
8,"[135.29072051 332.72799038 144.84077297  99.78200136 119.28497816
 343.99705802 229.39806775 170.37969404 322.1232406   72.09046103
 332.40118632  96.2189922  162.4730839  102.13199624 256.08548831
 284.18765961 279.56479633 307.69551783 209.32300797 144.9450563
 252.25024147 148.70333055 305.72421595 269.67684076] | 5",-0.4485916197299957
9,"[350.91579376 206.92379474 119.96650809 219.61187835 342.02169901
  54.18257929 313.94970348 126.17251359 337.08583549 280.17526498
 351.05179649 213.74916179   5.71119928 227.25605212 114.05590827
 314.52046141  45.82285122 222.57690809 213.44428583  17.14265467
  93.09968578  30.86036561 340.4001438  296.62976443] | 5",-0.21037717163562775
10,"[101.69539689  36.93279994 139.51143955 326.41019517 258.9541541
 338.52787283 233.34979664 326.88202464  49.01783613  35.7240477
 354.06692886 245.11964692 200.48016331 326.18491504 113.76533836
  88.46564832 351.82038402 250.4259799  180.19127763   1.34583413
 239.36743918 274.69278142 242.74390222  70.05487341] | 5",-0.313607394695282
11,"[250.72857094 315.4707388  189.81703955 140.55008912 264.33598799
 342.88491198 117.06869105 243.60923254 351.79930605 104.88519086
 163.06354009  59.50805046 287.37018625 112.86311135  69.56929158
 250.73874428 242.02018903 125.39913127 318.86957071  49.20752414
 294.13565255  10.79260047   4.40667413 220.50491556] | 5",-0.2829277217388153
12,"[ 54.55472898 109.28659208 282.00605621 233.66108934  46.41613511
 140.03156848 154.13138753  49.3908874  198.91486154 272.25627536
 126.59206844 174.01788309 233.20869859 276.55129638 357.29461671
 274.00145699 219.61220984 287.55968302  87.1276689  313.64968059
 354.94712167  16.75986354  75.5289695  346.10525055] | 5",-0.2969335615634918
13,"[  9.9220109  292.45120496 122.83748249  36.25748547 138.67311215
 138.37639507 257.1872388  145.14501692 151.18323564 335.75298554
 289.26672488 179.38462227 128.39713353  78.48635945 143.60709054
 125.05803163 130.56824576 357.4886214  292.07432878 203.09643676
 101.33272751 182.85224101 272.49242232 272.64491312] | 5",-0.030457673594355583
14,"[282.11297599  94.80937776 164.3557026  281.31236853 125.11640242
  74.63055374 281.60982327  61.10116477 227.46341667 181.62113675
  72.69633979  99.40545303 161.83075925 225.99849135 204.77430688
 225.62504393 170.95628813 280.24069819 229.52609281 192.90466754
 210.67458948 146.47959854 254.7558827   55.25052035] | 5",-0.551060676574707
15,"[219.93955348  46.13272324 181.25659589 218.69999709 207.51283025
 322.91294024 245.77870553 317.21076364 251.25485068 187.16789603
 330.68552476 235.53303564   8.70114874 139.90623451 254.91544958
 108.1702523  273.99735888 166.11375596 232.43692819 198.89580895
 357.40545702 281.2742661   27.50260364  69.45571556] | 5",-0.15949545800685883
16,"[351.346123    45.33644613  44.72746646 184.64825291 120.72859328
  33.11270245  98.27221536 102.66833002 319.41298056  34.73133434
 185.03970107  12.87075383 187.32521897 284.16219666  65.85464858
 157.11881665 106.33198885 176.74528691  24.52434063  27.20941094
 325.13896036 124.79289734  27.21274407 182.48379328] | 5",-0.19609381258487701
17,"[ 68.28843623 147.41986606  52.9357829  288.67655555  99.24737513
  17.2692932  342.25607012 105.69693152 235.41020516 236.93710761
   4.94941462 132.143383   249.51852097 341.03178603 115.22962164
  94.1012374  200.78936962  14.90632779 208.08039848 208.92009511
 245.77224417 200.31299124  68.41363359  65.6414374 ] | 5",-0.28075528144836426
18,"[322.11956596 129.44853187 216.321855   209.56794857  40.11808598
 320.52774256 210.73961288 275.74259515  94.67133963  87.73178547
 278.32514432  85.58005732 130.54966764  36.8100068  243.26692714
 317.70640315 133.9211073  214.05761314  64.10337442 223.85822061
 195.1756508  359.64804035 183.52513394 358.33798275] | 5",-0.2060045599937439
19,"[272.01227368  78.31315951 109.20176113 108.55988727 104.06572206
 156.55649082 200.14828806 128.16553547 247.29235741 352.14703098
 335.87775261   3.78246314 152.25167849   6.78998668 183.44133116
 198.99757877 181.59812265 346.0016639  298.80292572 324.14591233
 357.14115602  65.76484525 282.58184115  61.02653812] | 5",-0.13584843277931213
20,"[ 99.93140492 264.49086253 203.47012324 166.33573346 169.35528177
  40.64682458 190.58324652 302.09937308  48.1205815   34.37769447
 232.83395343 210.90707227 284.3209166  184.58732398 217.31443494
 149.32250086  11.4947166  250.1487152  319.20752847 126.03971104
  85.82705062 317.83083554  52.51408702 312.91029896] | 5",-0.32013657689094543
21,"[114.5623668  280.64020279  98.56273063 266.56129095 209.15408373
 206.51562263 129.88099212 178.00246154 113.45997427 348.52137533
 328.87844795  76.10553309 186.62329773  88.65846456 213.61089144
  13.80691322 281.44727843 359.47699875 313.55498685 155.99010421
 130.50035368  87.0041554   55.19902072 237.19739246] | 5",-0.4902920424938202
22,"[174.55802811 308.5128046  123.61618234 213.03276693 313.68033448
 354.81053155 281.11005833 257.059364   209.078948     2.38780681
  36.10584161 171.13823071 203.72775798 180.74948167 122.64263449
 110.90563378 287.55639087 303.60950742 223.433728    59.4654574
 110.95641305  94.57984242   8.24160678  89.71673407] | 5",-0.46760040521621704
23,"[ 49.80710911 161.16989747 204.66461405 326.06303032  46.91935613
 208.32269944 134.02913357 136.61952016 287.10772257 120.56369885
 187.7358636   68.10425335  81.73110912 101.39113929 345.82685204
  82.48613189 180.87785188  89.32364302 102.51302518 108.5037841
 203.6013585  132.09684574 303.46228952 168.48115052] | 5",-0.22768528759479523
24,"[288.95386123 298.0783451  152.98411063  23.58706109 242.64706379
 229.69440234 271.51642926 333.76328313 322.79494189 202.37564007
  62.27818395 292.63756667  51.01053016 217.8668916  308.1567605
  81.14649957 184.87091343 252.02565119 276.48084298  19.56828707
 109.05013093 290.94445157 155.26358701  41.78313583] | 5",-0.08668722212314606
25,"[274.34897702  71.19147153 352.06493211 237.40804915 156.9090069
 265.87305377 358.11712175 144.22403785  74.64771117 303.42396533
 248.72253072  17.57743719  33.01762622 179.57403343  91.61351858
 140.57761842 188.21239588 229.99628304 199.3309603  271.21098321
  73.03951581 136.55662777  62.55408261 253.44357114] | 5",-0.2501588761806488
