,readable,energies
0,"[188.34784172  10.41315614 178.71725814 281.47604719 295.58212952
  34.19423559 354.09004222  34.11046651] | 5",-0.7352907061576843
1,"[133.8178995  308.01549853 358.83028912  55.02837163 281.21211502
 315.93706997 260.04543072 267.88505674] | 5",-0.8923442363739014
2,"[114.44764694 115.53696649 309.47619595 206.75631167 347.38969494
 272.31751483 339.03890076 114.36311652] | 5",-0.9350830316543579
3,"[163.86301374  18.77952316 248.62036475  69.85385411 125.57632687
 170.11879083 127.00651066 212.66436747] | 5",-0.9872426986694336
4,"[290.91568281 245.84493104 340.6441728   24.72617272 299.27401069
 151.45167209 266.73234985  19.63093356] | 5",-0.4153243899345398
5,"[ 55.70168531 188.99362928 141.08427821 283.85093128 159.53982182
 233.2032481  206.66220851 295.70938278] | 5",-0.9416316747665405
6,"[  8.09648256  57.96726543 207.33442571  42.97389371   1.93863627
   5.83743483 135.75317577 223.82518982] | 5",-0.9449634552001953
7,"[161.14547635   1.70888601 116.73116678  75.00481396  17.0330233
 292.31732642  43.57088685  95.12100514] | 5",-0.9316363334655762
8,"[144.37570904 240.68569984  17.62099649 195.58991862  17.52402511
  28.86918789 241.98923461 282.49208883] | 5",-0.6086828708648682
9,"[239.45979336 345.65810174 135.20948589 315.05880326 229.9468015
 113.05580146 337.48865636  48.45532224] | 5",-0.9099223017692566
10,"[345.09351193  94.91545424 153.37255032 195.96305868  98.32152933
 323.18368211 253.23710454  13.74592327] | 5",-0.9885064959526062
11,"[ 19.05809243 217.16136038 291.58704942  84.58795868  84.40870401
 281.27052315 289.35219787 187.12874539] | 5",-0.9665626287460327
12,"[7.74467263e+01 1.93853427e+00 2.67562033e+02 2.35466636e+02
 2.58682640e+02 4.02765805e+01 1.80303334e-01 9.29585295e+01] | 5",-0.920262336730957
13,"[338.19802251 319.61602842  53.5114449  106.97381854 326.17710449
  64.99546542   7.99703137 224.47829615] | 5",-0.8431716561317444
14,"[125.54961764  21.6551011  351.31431162  92.0538882  355.87839748
 141.55340293 128.51569195  50.98980736] | 5",-0.043313220143318176
15,"[183.01510687 311.28852154  46.00581832 124.55142284  76.26612086
  37.01209843  23.138253   217.33549605] | 5",-0.7755019664764404
16,"[105.04269502   9.62060831 340.46564531 114.01065508  63.37789904
 115.37259116 308.52347336 118.25912472] | 5",-0.027113845571875572
17,"[201.12458164 257.32134274 317.63655764  72.266475   357.73126023
 218.4015793  314.96306769 280.01224567] | 5",-0.8074411153793335
18,"[231.32341611 359.74318124 357.18394397 104.52437928 309.17016933
 143.50428618 112.37471549 354.60894535] | 5",0.0
19,"[112.10160673 134.95432368 304.75012169  31.71126056 171.08312475
  45.62418515 189.77519416 137.96265318] | 5",-0.9417465925216675
20,"[354.26095768 153.11113485  57.13080677 230.66494125  84.45967407
  55.29470848 196.52055603 325.48580739] | 5",-0.910496711730957
21,"[230.74251854 224.44137215 182.79046513 309.22952367 123.77502157
  81.84484543  52.60919422 189.3006736 ] | 5",-0.4828792214393616
22,"[216.71761665 242.55766026 344.45525807 163.48131226 323.45279521
 313.34801163 171.89963652 193.09227553] | 5",-0.5319368839263916
23,"[ 62.16681088 350.32588398 149.7867725  122.38477755 100.84488808
 152.51658054  54.8721857  140.25304783] | 5",-0.8499501347541809
24,"[ 67.10678254 182.30418299 292.60889035 200.96006287 329.00803394
 278.3736077  109.2642437  116.92543467] | 5",-0.984485387802124
25,"[ 58.45475014 257.46253641 133.59311798 239.89064533 308.94857067
 354.24760102 348.14663381  32.40613669] | 5",-0.85408616065979
26,"[165.35778698 245.03498991 242.41261072 332.12710449 248.56364367
 274.5732053  239.49720913 310.51149554] | 5",-0.9458826184272766
27,"[ 81.21772842 331.58348973 313.47065132  93.54572127   4.03163208
 161.16963109   3.87365983 246.83455032] | 5",-0.9419763684272766
28,"[ 59.798665     3.82956412  85.28072747 224.21563075 199.65946144
 266.42659597 272.96745833 195.99412238] | 5",-0.9602437615394592
29,"[338.15261177 177.32777227   9.36152194 248.95384555 330.62457534
 133.53894092 227.04175812 196.30411735] | 5",-0.9006162881851196
30,"[102.09374718  42.41846637 355.06815263 303.28596136 306.81361427
 251.35258385  75.19638027 234.33746248] | 5",-0.6874968409538269
31,"[130.94067867  18.01965096 152.43474486 113.01039118 346.97134221
 178.17828427 203.74747992 128.64247392] | 5",-0.3245619237422943
32,"[ 10.24590211 209.29086145 207.15350402 320.08441183 274.99134265
  10.59690554 183.97823503 215.36792664] | 5",-0.17991645634174347
33,"[ 40.68283334 272.25891181 325.68267074 165.98399238  30.75224008
 316.70721478 126.96696022 111.53269979] | 5",-0.78021240234375
34,"[342.78526999 316.99215661 103.30356493   9.65705056 201.59661237
 127.38269015  45.04696905 216.63752221] | 5",-0.916356086730957
35,"[320.65045693  22.10164157  42.82867387  58.47286016 218.63766114
 301.0118262  324.68387169  51.9372402 ] | 5",-0.9364616870880127
36,"[ 26.67108639 210.80212641 215.29025738 158.38231649  75.56436354
  85.8806676  202.17068658 304.65891134] | 5",-0.5322815775871277
37,"[ 88.19827373 146.30910336  83.01953232 269.47952342 199.53543568
 315.92964236 311.94658658  33.78571196] | 5",-0.9546141624450684
38,"[329.21691115 208.80326153 337.13150213 110.94933333 202.40787128
 176.27238829 243.81016305 249.89360399] | 5",-0.8529372811317444
39,"[240.06918283 226.04031943 228.49820399 236.01304449 291.3790392
 306.97380908 229.37322954  95.75049267] | 5",-0.7965266704559326
40,"[ 54.903335   273.15404544 119.5076323   61.22704197 228.74957544
 278.74603742 281.21461122 347.89335673] | 5",-0.959669291973114
41,"[169.90565159  39.94051836 236.39231806 133.96670883 299.35425494
 286.65488422  95.83626938 165.53484278] | 5",-0.9999954104423523
42,"[150.18410828 128.39963019 179.61220781 168.62829374  93.57289495
  92.65410792 325.37538053  95.82608875] | 5",-0.918309211730957
43,"[1.93567561e-02 2.18941472e+02 3.24462266e+02 2.37677984e+01
 1.47469009e+02 2.85993135e+01 1.38960353e+02 1.12996464e+01] | 5",-0.8890124559402466
44,"[ 10.11074269  98.61368384   2.47061603 225.27177972 231.0826861
 219.80020032  88.78069125 250.57564301] | 5",-0.9081989526748657
45,"[280.98028474  85.62315581 175.02673254  27.63527642 169.41945823
 233.92644902  72.9269033   97.642308  ] | 5",-0.8996971249580383
46,"[315.18291782 306.46250111  68.82063455 190.34459653 102.16018443
 249.97804243 174.31668656 126.4695822 ] | 5",-0.9752942323684692
47,"[138.64657368 113.44960968 149.68017055 280.39864951 320.58031088
 140.69633713 312.69304066  63.06743963] | 5",-0.9480655193328857
48,"[190.63496472 357.40967808 249.86621493 271.60213448 183.66356503
 189.43239744  93.70526402 159.21626529] | 5",-0.9634606242179871
49,"[283.97201688 114.49419149 249.57385552  70.65047957 230.27887528
 154.12914723  34.24422574 263.32618186] | 5",-0.9451932907104492
50,"[143.46858797 228.53636744 137.58700279 211.55902384 135.17432407
 185.19120833 123.82016912 207.35433571] | 5",-0.8789021968841553
51,"[ 81.77367486 118.91654045 326.85594333 219.81242636   7.56470771
 330.83232602  70.79595258 108.95268143] | 5",-0.9301427602767944
52,"[  2.29757683  49.16367432  79.81858785 215.19319675 348.62395111
 105.86186693 347.50928154 318.41885335] | 5",-0.9477208256721497
53,"[244.66176469  77.70122921 262.90902487 152.42654499 192.27866704
   5.44197371 202.30105076 335.34225212] | 5",-0.9229047894477844
54,"[289.98521616 305.2426398  228.31394916 135.05376759 242.95247206
 318.39208948 180.56444182  56.34911894] | 5",-0.8294998407363892
55,"[ 15.07693225 233.15643034 198.75965232 358.0944692  199.42806829
 356.5280236  271.08023972 166.44179264] | 5",-0.41245216131210327
56,"[259.79219099 265.3947766    5.36135699 200.78937963 317.74336813
  16.46925266 238.61417496 214.79967904] | 5",-0.7928501963615417
57,"[ 45.09050103 215.98894475  15.10157558 132.54372771  11.5616561
 143.1258764   78.60069682 170.09735451] | 5",-0.13522456586360931
58,"[232.14280659 106.79508933 300.97608336 324.2632823  150.69859273
  27.75903262 342.89339507 189.33589006] | 5",-0.9468017220497131
59,"[153.81188494 288.10731393 260.57774106 199.19385109 189.50273792
 228.36329728 237.03621366  94.81339755] | 5",-0.8977440595626831
60,"[260.31972748 321.07764792 347.24184867  42.31882074 223.6794987
  96.94624342 167.79374298 323.83807889] | 5",-0.8573030233383179
61,"[290.17190936 241.80796139 273.42024887  92.38344118  64.12367374
 123.51481869 225.20982307  35.43631915] | 5",-0.9416316747665405
