,readable,energies
0,"[  2.4449928  292.53237128 208.5782405  248.41827311 139.44875208
 290.7585575  219.38988718 245.6385842  316.46807984  10.88105142] | 5",-0.5459693074226379
1,"[246.62102495 293.29880411 239.39119094 141.1226575  174.75998314
 353.88262303 156.20605749 341.26486624 331.86391362 166.25068395] | 5",-0.8102442622184753
2,"[ 55.69163127 129.23763293 262.08198459  78.42031152 126.28081307
  26.87880246 299.46330939  94.11823774  77.89782937 250.01964147] | 5",-0.907363772392273
3,"[ 34.02009673 240.22618521 293.46085354 280.85061678 107.49193255
  69.07933115 289.21051242 256.34987127 229.07600748 296.07634835] | 5",-0.26737701892852783
4,"[344.84943831 120.72959049 320.20455486 311.24078216 342.02693094
 281.83958719 262.51571526 248.14242226 142.22164131 199.02152541] | 5",-0.6298055052757263
5,"[ 94.63649201 341.45320506 214.93847167 148.16791202  14.88529081
  64.11761855  63.16200678 298.89260246 254.81608399 185.16749391] | 5",-0.20159663259983063
6,"[152.91034095 157.77147219 115.98046433 193.76054124 315.64742896
 292.56578457 147.9986053   61.50942566 243.22647876 237.21150363] | 5",-0.9004834890365601
7,"[310.01966728 316.15310521 168.53165658  96.87618981 212.15378989
  27.82064457 214.469214   125.7963136   39.87764283 298.15491835] | 5",-0.6834957003593445
8,"[293.32183915  43.84344874 319.00591494  91.35665566 341.62795591
  88.14219105  56.5607692   45.15414838 221.72451414  48.74960094] | 5",-0.4383105933666229
9,"[ 37.17564412 267.02331909 312.47039379  15.70083588 250.10134101
 272.43880533  71.9535977  282.66695897 114.87550365 225.89788267] | 5",-0.635134756565094
10,"[228.64868307  10.77476002   1.99190173 239.21013628   0.49857285
 275.73173151 197.74265081 277.84496472 348.94894517 163.43020878] | 5",-0.6151302456855774
11,"[111.20336537 117.83111092 151.34524772  47.53470153 121.60358513
  57.96303435  73.9359918  331.8931227    2.69060276 253.3172773 ] | 5",-0.18429645895957947
12,"[119.50081896 252.87677472 158.10257881 168.67637782 263.29361552
  22.05850574 115.96691324 199.48566045 157.69340312 130.62510025] | 5",-0.3790525794029236
13,"[188.53054928 292.1660309  270.5531777  354.80707548 275.53814027
  38.77733715  77.49831795 222.48200261  23.74699316  34.59913285] | 5",-0.1300097405910492
14,"[ 75.05441843 350.00683219  17.5873446  358.92454938 284.80045052
 120.34335376  59.66662378 145.53596693 352.62345034 236.91137146] | 5",-0.4603036940097809
15,"[ 15.41284779 100.36200736 183.73931501 229.57890019   7.86091571
 155.6272026  179.07408772 293.22035939 145.09452816 330.28561719] | 5",-0.7698374390602112
16,"[ 60.91440372   0.62010286 312.86750099 123.93643625 277.08174936
 252.71931837 260.514101   262.8313383   87.02438278 352.98880034] | 5",-0.9309477210044861
17,"[224.20083656 261.3919579  318.19982968  44.33532481  22.25027696
 171.11475899 325.59180191 343.17777    244.1696054   54.07253128] | 5",-0.9036651253700256
18,"[199.68057037 165.19722289 188.3119081   46.40783324 105.87352287
 257.01508707 232.15367661  53.65193506  56.66311639 357.85342181] | 5",-0.1820693165063858
19,"[143.95171821 293.94109461 332.5104147  152.83638366 104.18362115
 280.21862302 222.44156106  67.84973318 266.86054885 124.40197511] | 5",-0.6196640729904175
20,"[215.66748508 192.54460729  90.12762823 305.71691766 195.85633015
 205.29828803 134.38136643  14.14597383 295.08932454  11.28341787] | 5",-0.1869610846042633
21,"[217.62111407 193.23488988 248.23231074   5.70618592 206.5917073
 288.15878623 119.19855258 302.65419618 265.45973534 211.11290685] | 5",-0.8003811836242676
22,"[233.25051301 276.22873706  51.79649733 302.4149383  126.29854424
 164.0211909  243.99129966  31.12996001 334.60173667 202.5659255 ] | 5",-0.2844385802745819
23,"[277.12152838 157.47617898  83.16340343  61.4230133   61.62070994
  15.41912473 289.75761058  81.89057354  95.62483404  49.59333785] | 5",-0.4524291157722473
24,"[351.4444504  284.06156066 186.91166468 178.53971056 328.60171965
 205.89625744 200.22275761 158.07484824  88.70219507 150.47886191] | 5",-0.6985289454460144
25,"[347.30498011   9.40496558 250.58909165  14.23038859 231.57575381
 259.0821655   63.20674816 161.23687794  36.95443798  18.28956637] | 5",-0.149974524974823
26,"[ 93.07815703 119.98602877 311.82718122 203.98364419 203.50994325
 287.42941401 166.74040851  44.24154267 196.59696535   4.05811227] | 5",-0.7466909885406494
27,"[ 84.94584693 283.9481012   81.91156636 350.54566945 298.16238693
 259.07445422  98.84044612 164.08296313 236.20075493 192.48073136] | 5",-0.757707417011261
28,"[ 48.90285672 173.70757394  43.75890465 185.98320974  54.61281291
 246.80286143 198.21738994  85.60763762  50.65491317 190.55617165] | 5",-0.7697181105613708
29,"[293.31883023  42.89580097  69.68660327 323.36189541  20.86621425
  23.22606875  16.45462239  53.75397126 155.83772952 142.564158  ] | 5",-0.7711896300315857
30,"[ 68.52695326 299.74655733 350.32508485 117.33029413 140.87951278
  45.01101129  29.81879273 230.47110094 114.78239815  68.26316453] | 5",-0.6214935183525085
31,"[201.13908532 114.64690086 226.56560196 173.67426629 271.43086065
 168.56906189 122.70277385 118.43250225 110.67984139 153.47958258] | 5",-0.6842911243438721
32,"[227.59960381 223.3638415   29.83748013 352.56748013  47.56026374
  18.99427433 221.61077783 128.89280036 307.5106756  246.84977117] | 5",-0.5275158286094666
33,"[204.86379238 268.69398655 284.70518669  46.43236    262.24512684
 329.24585749 318.54104862  24.82051812 212.94513241  60.66065855] | 5",-0.9874218106269836
34,"[ 60.96949602 354.84295765 235.90545899 207.5240181  163.0035132
 337.5558208  136.09952784 149.95781774  60.77917963  28.08717221] | 5",-0.9855127930641174
35,"[ 88.58074384 312.60221644 118.92941217 332.0358395   54.9584478
  32.96166967  44.24983133 117.8158286   18.20894282 359.85480384] | 5",-0.3995741307735443
36,"[141.04641529 230.25908139 340.92412859 242.12902491 178.03343326
 239.26212768   1.75557718 101.32251956 234.5451617  142.9483188 ] | 5",-0.5549972057342529
37,"[147.37148783  53.17734301 310.65085872 116.8942034  107.86957736
 147.77220183  30.36073728 181.2814851  295.62436058 188.46666652] | 5",-0.7123690843582153
38,"[ 26.86375555  87.10403645 184.19741944 300.14146885 135.51972674
 215.84982745  26.52121474 134.3476558    3.24022444 221.35621304] | 5",-0.7943758368492126
39,"[320.79129543 227.89514609  86.87690534 123.85098694 220.35511221
 218.38240331  59.92417291 278.95959376 280.21295761 218.75913606] | 5",-0.7346802949905396
40,"[110.22085632 211.1902041  256.53169455 353.70786581  81.12490251
 234.86518339 292.27345247 232.09848549 184.5475313  160.96571943] | 5",-0.7513441443443298
