,readable,energies
0,"[ 76.70473876  47.56988383 187.99805089 159.25589086 296.37292564
 188.66186331 345.67220654 111.70498812  97.32539405  17.50429588
 332.8201401 ] | 5",-0.6744006872177124
1,"[294.02898913 182.04989869 290.5293705  160.93402371 338.21910047
 274.82597694 273.67135031  16.70152007 108.6179202  185.25589022
 224.28579046] | 5",-0.6418905258178711
2,"[329.03891642  19.87798833 261.58249285  57.60373908  55.07282615
 211.97668672  89.09685706  26.25226921 311.56889078 333.9806366
 182.80684074] | 5",-0.9890382885932922
3,"[253.57317716 303.74354988  32.60849106 326.66542204 250.49243081
  34.21938435  42.88975625 161.65648014 356.87841913 175.00878963
 305.36588373] | 5",-0.4341588020324707
4,"[132.60428098   7.30563181 187.726988   252.71978965  23.91298406
 205.37646638 103.25442855 151.95201077  81.78236286  90.36508295
 285.23058487] | 5",-0.6663903594017029
5,"[160.77897842 103.90829622 240.00055992  90.35210559 274.20594921
 118.81246567 328.82959844 328.0237454  142.64496278 100.34051959
  95.6955265 ] | 5",-0.6416974663734436
6,"[207.81542129 147.71207522 280.82166042   4.7549523   73.94510692
 239.26746251 239.25200215 275.13571554 105.43164333 116.33433643
 148.32183717] | 5",-0.6313433051109314
7,"[204.67972925 206.45132323 188.60734793 204.99436829 254.94400979
 291.51487163 228.38013734 196.36736171 348.22211423  33.06798521
 172.16491105] | 5",-0.9929676651954651
8,"[162.84658961  93.05311755 298.44159505   4.60334624 183.42079961
  58.68824699 223.7395397  234.63811693 303.66589382 161.34603439
  81.74392255] | 5",-0.4490627646446228
9,"[ 88.92859854  80.08136253 334.70581509 287.05260978 211.18789185
 301.79962659 170.41485266 250.78940061 319.75287126 240.07623159
 246.72674945] | 5",-0.96806800365448
10,"[310.44014055 164.67658489 247.81897866 185.53896422 150.25767306
   6.85575776 259.72497828 239.53600461 259.98650668 197.68138402
  80.35537242] | 5",-0.6913589835166931
11,"[150.71139251 197.39436945  68.45704628 259.5487084  143.07846487
 132.68452523  75.80412686  51.81236704 291.04678829 195.04232551
 330.07512442] | 5",-0.9639593958854675
12,"[307.81164835  20.2506093  303.37554612 158.43391857 117.33745581
 256.78735855 330.0565463  153.56220737 106.73689976  22.63305123
 261.72764803] | 5",-0.9812623262405396
13,"[120.74239709 132.46674146  77.767875    29.30801388 337.76963304
 151.28393995 250.77421027 329.51812613 251.48176686 321.71879778
 335.22634016] | 5",-0.6727324724197388
