,readable,energies
0,"[257.77321439  87.04897146  67.00309025 265.86320463 194.52040343
 347.20314882  46.47107715 179.31962254 338.39019671 236.62295989
 129.22947404  98.48986617 225.13310638 168.52765045 155.80199716
 291.67401139  36.04324976  57.16519996 222.61963775  35.22055347
 268.96069542 310.71559525 131.20221026 229.00684453] | 5",-0.4180150032043457
1,"[3.50712295e+02 2.51761664e+02 3.43915424e+02 2.41242281e-01
 6.81792898e+01 7.69756992e+01 6.80944589e+01 2.20989791e+02
 1.53199668e+02 1.30633788e+02 6.10233553e+01 2.75058695e+02
 1.15079959e+02 3.14209415e+02 5.78467436e+01 3.37183917e+02
 9.67896272e+01 3.18856566e+02 3.20359344e+02 2.34917106e+02
 1.83011763e+02 2.73088466e+02 2.23262919e+02 2.01346559e+02] | 5",-0.16883136332035065
2,"[207.8785459  211.45719619 303.1011501  308.64315193 358.67574926
 127.07695358 136.43320626 225.18782622 204.31719966 212.98525978
 132.07311402 341.99447388 201.08608669 166.30095414  51.5030551
 130.01340581 204.1041697  250.25829876 290.9571967  326.92166706
  91.32915049  11.88671482 288.78989207  83.732819  ] | 5",-0.26908835768699646
3,"[286.22082934 145.01547555 310.59779498 311.38245394  61.66223749
  98.20779302 177.45461207  17.89050574 310.00472282 244.11672926
 161.6247061   64.12547691 279.40409564 219.83065295 353.15008524
  74.81238704 130.32707178  25.73791498  96.96314131 216.64266215
 344.36627073 206.53428271 314.22531528 331.26419205] | 5",-0.21285882592201233
4,"[ 89.70650245 138.84933103 189.43558714 125.94289629 296.42164856
 133.99444623  71.51300952 211.89469713 111.93017582 113.50655616
  45.9861747  352.41705568  27.28712483  75.86508311 333.8107188
 260.13824935 198.51177474 269.57067229 300.04977675 308.95311275
 145.12126152 317.30025278 281.98911734  26.39361314] | 5",-0.4983038604259491
5,"[180.39932883 291.99785798 177.31562136 217.99439757 272.94858333
 280.56517316 304.38355227 357.15670153 356.65121289 208.16557413
  30.67330039  81.52154525 309.51554467 283.23599569 149.96763591
 174.63322485 109.74402351 162.63963488 224.45836566 304.27424192
 348.08484428  34.62226988 194.50537701 210.85491011] | 5",-0.23559008538722992
6,"[169.844658   287.07162502 158.00048479 149.49179029 273.45183167
 261.70927482 185.14883747 163.98570124  58.3322334  215.7178509
  36.01467225  71.59527231 122.25184841 336.34419989  39.01121284
  18.22082735  75.68079095  16.49714715 279.47443293 244.05105016
  64.32196779  53.80047119  42.98763969 282.30954883] | 5",-0.1688353270292282
7,"[207.76371676 282.79951928  23.10501366 307.41377252  89.60897417
 303.07432112  20.19069488 175.06119084 348.21678987 201.01785311
  81.95347276 318.52430464 266.21886624 276.03219517 308.3422138
 311.69315925 215.9757215    7.36711034 270.03848561 283.54648243
 301.31828631 230.53044481 236.77981518 210.2760106 ] | 5",-0.6539261937141418
8,"[103.17058479  68.37938703 286.81239202 310.92054874 194.72174375
  19.37798434 308.49464313 229.8752111  229.45184866 333.54801606
 193.56621234 136.74496341 232.07292009  12.74938137 256.88176542
 208.25528547 256.12060914  43.8355667  268.74993627 135.02116027
  50.08902835 359.61051529  59.17040689 313.29781657] | 5",-0.6886058449745178
9,"[197.57426297  11.86465331 206.67010421 340.46448418  61.06572975
 186.34986477  82.55862752  18.19827406  16.30383913  10.85291104
  56.80983887 338.16645337 231.33769121 230.18000146 105.46922667
 314.03240341 310.71248068 176.37652499 238.34762364 116.68062703
   5.40636794  11.82561194 301.84225744 228.85187118] | 5",-0.7512496113777161
10,"[ 55.44490753 208.9033575  174.28477956  32.36237567  62.99309985
 317.86621592  27.18006844 193.90631478 196.73790266 313.9662462
  85.11597329 267.2362639   67.74831853  16.21489641  96.85503307
 307.76521308   8.19775697  45.37238658 266.35176806 277.78810021
  28.32472619  38.52084624 263.93853929  20.48257619] | 5",-0.1733546257019043
11,"[279.19468204 308.53602725 272.03087911 228.99393912 120.61745244
  78.76352853  61.37586132 162.77285089  92.66536771 119.87953246
  82.50813876 338.4858057    4.39902432 284.9998374  320.31128704
 194.62957353 155.79003431 350.44686029 353.94753032 240.8308277
 290.73447789  29.69990281 158.6977788   28.81180064] | 5",-0.28856098651885986
12,"[219.05677885  13.76744839  68.79524992  59.75184724 128.4033663
   6.8086809   26.76507981  15.59426444 136.6306397  116.27376632
  54.27728669  17.62921002 121.78777803 325.30255705 156.63638673
 157.82252102  82.31597822 157.71634892 241.31570283  50.2891529
 347.65262991   9.30774467  53.62415668 335.6265724 ] | 5",-0.8058894872665405
13,"[105.79718504 299.78439658 136.80964894 321.58765815 222.15235719
  13.88258488 100.884872   187.42212934 100.83982008 158.0928426
  84.4081198   27.71972169 358.57829612 273.84363864 283.75174328
 171.67663085 311.71173736 198.07573182 230.83927864   5.83742117
 142.99222326 178.65004908 148.41879489  78.33310367] | 5",-0.05974191427230835
14,"[334.24369815 188.56129561 115.11548918  47.68700109 128.12039157
 251.95554248 126.39700825 235.96746299 359.58222465  10.91700554
  88.38135012 219.24586581 243.86085671 108.60372343 146.62293325
 187.20896915  28.88784796  72.65039994 355.18053656 270.89690379
  42.19868454  74.44238203  23.20660589 252.11101489] | 5",-0.30047765374183655
15,"[133.42463451 254.72740081 112.24148582 336.23159739 295.41360826
 112.30388279 180.40614172  59.94012823 263.27799169  25.80804736
 266.57536797 298.11386891 345.25224188  28.0600427  254.91924717
 120.08792153 344.37049178 134.87484396  91.54913722 281.83803355
 221.38091464 335.10726629  56.91648545  42.18558424] | 5",-0.2934330999851227
