,readable,energies
0,"[172.76952941  87.96350647 291.79409978 125.60794382 313.6339575
 170.74234293 248.94820017  43.33054934] | 5",-0.9863235950469971
1,"[332.71306642  68.97447409 273.02793647 129.71027838 146.91334288
 226.97167037  88.06872918   8.01569144] | 5",-0.9561077356338501
2,"[217.49364908  35.16819324 327.04879054 141.58747191  16.64726105
 167.5085079  114.57447354 255.08534371] | 5",-0.7752721905708313
3,"[  1.91257591  68.19697999  89.41910175  80.12667036 166.50797717
  11.05132804 170.93164845 285.41952521] | 5",-0.904752254486084
4,"[111.11648172 135.28919055 340.2616139   63.79969055 118.04288458
  59.09640862 250.91687926  32.34505749] | 5",-0.9642648696899414
5,"[119.08533173 310.87798983  37.2297629   12.52731826 332.149166
 196.37916747 243.87289151 291.61723886] | 5",-0.7223082780838013
6,"[213.97029236 171.28513442 184.30440753 331.61414362 283.88189936
 161.6050215  335.19794388 151.09801855] | 5",-0.9692050814628601
7,"[ 93.90671362 128.18285683 134.43052649 192.0894025  136.63800265
 189.76885939 352.05205037 247.84369028] | 5",-0.9634606242179871
8,"[129.61208758  82.3428755  255.53572638 238.77677808 301.01863908
 122.42720668 240.8000577  283.09467908] | 5",-0.9420912265777588
9,"[104.58426319 139.46794127 189.65484987  67.82204359  38.42363899
 222.81261792 119.6686572   97.76698627] | 5",-0.9339341521263123
10,"[ 23.60719649  69.45116665 110.880526   153.45640456 354.57594187
   0.88412701 138.53051511 339.93178407] | 5",-0.9610479474067688
11,"[ 71.28534565 120.8897994   74.33357711 154.05210269 256.99883486
 336.79919977 255.09207827 137.08363151] | 5",-0.9780515432357788
12,"[ 93.74747459 177.19831605 340.90056444 298.59650374 211.30133128
  80.78212263 319.0858828  309.20273567] | 5",-0.9513972997665405
13,"[1.57934860e+02 1.28034328e+02 3.09936226e+01 2.45133690e+02
 3.41809430e+02 1.58772255e+02 1.06482649e-01 1.66952158e+02] | 5",-0.9611628651618958
14,"[157.74252584 172.03933757  47.88723491  49.46884718 339.30727255
 112.44853253  37.02130553 348.07959869] | 5",-0.8602901697158813
15,"[ 19.18130221  79.38385997 165.94641268 152.65967301 285.57786265
 224.87697429 318.66262963  69.55315504] | 5",-0.957831084728241
16,"[253.44121791  66.85076337 299.38642195 277.32390689 239.22520732
  48.572057    58.88789661 299.08523109] | 5",-0.9544993042945862
17,"[315.73359863  55.93754176  66.9745264   25.0069618  354.35092812
  55.29729348 175.72687838 285.10387484] | 5",-0.9810386896133423
18,"[198.50320968 120.85940506 355.29901302  55.31524322  85.33561851
 110.77931626  40.26932003  36.87355488] | 5",-0.9272705316543579
19,"[115.31557274 101.71762233  39.685011    91.97075114  59.79767781
 282.10659659 136.79158628 247.68745653] | 5",-0.9363467693328857
20,"[106.83734088  62.41540245 117.28931982 221.54095964 312.53011697
 106.35753376  77.85709412 268.50042263] | 5",-0.9172751903533936
21,"[275.75758059  52.37975086 282.19935056  67.09073524 220.61925293
  72.17470458 167.22218273  20.02610099] | 5",-0.9496739506721497
22,"[255.93888513 176.87136856 294.37393736 109.5147377  124.03141321
 331.65727627 274.1561881  136.50277856] | 5",-0.9756388664245605
23,"[113.86325595  31.02308804 347.31564203  23.39827466  40.82461441
 301.42019956 191.80911886 153.19611971] | 5",-0.7221933603286743
24,"[ 49.12978293 101.72644693 351.0672737    5.04387614  72.68569517
  14.15112743 200.67448584 283.6701635 ] | 5",-0.8590263724327087
25,"[203.30625334 185.46920067 203.97248366  54.5216572  297.02258227
 252.42103718 153.99179212 181.51876952] | 5",-0.8675282001495361
26,"[ 68.98507454 118.32819524  56.42114647 107.6191553  211.99870725
 140.08914697 128.45248538 146.01063411] | 5",-0.9613926410675049
27,"[ 27.68173218 138.82140922 168.10196938 254.51965378 275.51872887
 220.83419898 230.76302641   7.37038883] | 5",-0.961622416973114
