,readable,energies
0,"[163.11598593  99.10220629 347.10887855 214.5962965  108.7290064
 217.99572263 102.97287814 343.63264011  18.98414197  62.24819942
 139.16183951 241.5243173  190.4818765  202.91593535 327.47018589
  50.83817716 295.13142583 171.44822568  19.81269856 165.52997604
 317.190437   258.87851658 151.31221329  88.59650108] | 5",-0.3505665063858032
1,"[ 64.89874312  93.35986135  52.30926331 179.49577677 182.23433747
 136.60122891 113.37369532 256.59356559 130.78856034 182.73970317
 296.15629571 232.52184793 337.70126285 145.40751839 328.27015131
  22.94469546  97.59515237 244.13518443 353.51905206 350.72581888
  74.96784214 117.82061292 130.12387365   3.68165638] | 5",-0.19308096170425415
2,"[2.96601583e+02 1.90493976e-01 1.44713253e+02 2.49589569e+02
 1.39634885e+01 2.90983793e+02 1.98010084e+02 3.08898150e+02
 1.39499128e+02 8.10435140e+01 3.42918448e+02 2.84098594e+02
 1.01772961e+02 1.12071957e+02 2.08931580e+02 2.08668908e+02
 3.50479932e+02 2.94944675e+02 3.34790400e+02 2.77606212e+02
 7.28745394e+01 1.35586058e+02 2.84987625e+02 1.79424425e+01] | 5",-0.16997705399990082
3,"[ 51.62750114 119.82784159 114.13431884 145.70371638  73.92831467
 100.04508658 224.67899443 215.00905166 287.73654394 257.8495076
 258.18985593 331.99757678 192.42912245 335.82297449 201.718289
 205.33044821 219.34611933  45.89881658 194.42933971 270.22553717
 292.33494831 302.67487799 281.07567516 287.6311268 ] | 5",-0.9021623730659485
4,"[163.23396697 173.01948338 346.37714672 301.34211684  55.25480971
 131.17117752 180.97223144  80.42290933 217.18180996  57.08532772
  52.53818393 174.57948856  57.69490162  81.63900766 215.15411805
 306.69940987 231.78352133  52.31456353 294.19036237 324.12814701
 275.44641083  74.65545661 208.57354497 286.39572316] | 5",-0.23294194042682648
5,"[167.58860872 295.66684072 335.40680423 198.23058951 179.03527175
 245.64946105 165.16532591 323.23615162 121.78923969 336.03432103
  40.75633983 129.01842119 320.54135513 252.79892422 140.56576121
 301.10351101 264.54585239  55.49397561 214.72190367  39.99185042
   6.73198471 346.64351044 329.82796719 203.50233442] | 5",-0.229627788066864
6,"[172.43238764 130.37556612  64.77429024 287.05592925 242.19128527
 228.5300017  213.93914669  29.56182371 325.59615957 104.68502533
 146.23523805  47.06974323  81.96731072 289.17126616 198.96408352
 347.18952942 189.45202058 315.42953227 249.14874819 275.23904629
 294.399694   264.11856941  37.72403637 335.44773756] | 5",-0.6656090021133423
7,"[218.9853624  223.76422036  83.85893161 228.50342225 108.79193612
 352.67649359 201.2046688   91.63542983 196.27631848 306.01796873
 178.62197701 180.91527768 287.42771011 248.73035812 304.06474636
  13.76356884 163.34316804  20.76154844 292.02046591 306.65151658
  37.78759811 173.61090946  58.42666759  92.92580283] | 5",-0.21904312074184418
8,"[ 24.19009849 345.64774399 189.72393041  30.75834991  42.37932938
 148.91231704 349.44473494 228.68043343 342.53176388 354.74498906
  21.45464871 148.90500555 195.21235624  58.3422328   96.32800202
  93.18118724  67.19660317  20.97337992 253.0377213  143.34221945
 169.2127594   34.07399694 288.42068301 338.05072265] | 5",-0.24232938885688782
9,"[197.18299877   7.28998384  91.68106915  45.92150647  63.78881689
 312.20062864 188.6086698  106.95178753 344.07790014 226.84565338
  13.10379988 352.5218581   60.46012419 288.0702943  241.342122
 333.03739112 317.29910531 176.01452497  87.67733521  44.01099328
   9.66167141   9.28913923 158.39308406 300.51860093] | 5",-0.2021750509738922
10,"[113.52410974  66.30387012 166.94271552 146.1948853  158.42426069
 318.12692424  28.75654441 306.18386036   9.38895562 327.50706891
 169.6319181   68.5618487  345.84021189  27.79275007  17.26201905
 278.28619858 178.30660987 205.26610783 278.34034832 286.24492625
   1.1539468  346.52246582 274.10651896 116.0559789 ] | 5",0.0
11,"[ 55.80321925  54.15036812 109.30339799 104.53629113 281.16576535
  78.51403538 292.9422136  132.35749942 117.05306358 209.70574445
 262.53710058 321.72417314 120.96719911  38.29926124  20.36829346
 325.54989186 107.67189438 300.49412154 297.44828064 274.51191801
  78.36397612 204.15599718 264.77870037 344.74031921] | 5",-0.614858090877533
12,"[160.84801797 123.40344562 227.0667976   78.0924078  117.47021055
 139.71162876  37.06679459   1.94955456 347.32111984 230.76149645
 206.71898104   2.27200779 127.01322792  75.79463654 101.22784312
 288.66422706 339.05440529  38.24885445 139.77937421 358.92820672
  23.97185346 334.00272225  27.61802017  82.77052731] | 5",-0.22116798162460327
13,"[ 75.1526534  161.5589587   32.98230048 329.25144458  39.18259595
  39.93442219 299.90326919 232.19412863  29.74719504 136.66013246
  46.40440084 201.74317457 134.76954976 273.63804995 130.66519711
  44.12640981 156.56074921 207.98710493 289.608248   283.47163039
  90.78415603 104.87632527 195.60339458  83.22678394] | 5",-0.8569496273994446
14,"[311.5389404  128.25018884 294.90511434  57.39972133  70.07358813
  47.93982737 312.28127951  25.59071074  44.89833047 261.76382072
 229.6232691   16.47100118 191.1938964   87.42953594 118.29277024
 128.89043711 319.11220635 286.59724107 312.52230323 196.44599768
 354.84305691 221.10949659  11.24758669 334.25498162] | 5",-0.24855728447437286
15,"[104.86188625 246.84582696  10.57204    139.07180395  53.35885848
 282.54532013  93.44511577 316.15111443 170.63096622  58.00576402
 340.50696796   6.36337306 212.60513926 204.94912876 148.61411462
 272.80812732 304.33939509 170.02742339 254.32966524 280.3413342
 332.23300657 237.50481563 243.48452331 283.055023  ] | 5",-0.6958169341087341
16,"[ 54.43126648 268.53855558 282.19245207 188.34132253 239.23767925
  65.79924209 160.0866158  218.68706754  65.2265034   59.22872305
 288.97168803  12.1495405  331.69239027 151.70064979 283.69910984
  88.00758851 317.87280022 261.59912755 340.60216713 216.03776694
 311.50893538   8.49726076 337.56027409 137.05958924] | 5",-0.16631007194519043
17,"[218.86461831 172.34854388  31.04957551  38.04687209 182.19214056
 281.86188457  58.34842095 312.22710245 138.93073323 236.51906588
  41.22177624 337.49510042 310.08357053  89.48805934 208.83154489
 319.75650492 249.89766477  46.80896661 223.55307872 149.96469893
 326.15369425 226.71434982 288.31540247 268.51958814] | 5",-0.32993632555007935
18,"[ 20.72775266 313.18372509 291.29871982  48.37206906 352.4941412
  38.26882592  23.06558981 231.41139578 347.40812279 155.82802382
 226.41954519 242.14653387 315.2559635    7.57454319 262.58232326
 331.1297466  326.98083016 266.88994599 155.81569852 350.28486187
 117.71376508 124.36706237 342.35846832 158.79912196] | 5",-0.10281001031398773
