,readable,energies
0,"[ 49.41475208  66.32240726  89.21332181 178.76178734  55.93639428
  69.90324321 275.47345155 265.97679068] | 5",-0.9894255995750427
1,"[  1.25374952 120.42612518 135.60915759  97.20964283  20.62039575
  31.2525824  120.06835987 273.48509469] | 5",-0.9283045530319214
2,"[ 64.24062024   0.75648443  70.57846205 340.18967835 337.70898096
 297.70868843 313.30134095  32.30141259] | 5",-0.9592097401618958
3,"[237.47620078  84.60563521 181.50058391 194.71410395 341.67013551
 176.7523903  214.29004083 161.70122153] | 5",-0.9847151637077332
4,"[322.05303991  58.42022354 104.52313619 210.67102776 254.54856916
  17.58354338 343.32353307 158.03722119] | 5",-0.9587501883506775
5,"[325.51761239 148.66574721 305.98894042 288.24992828  83.62191039
  59.05365164  59.68347704 185.64620502] | 5",-0.9999954104423523
6,"[162.10242684  36.87586348 235.01039321 350.31160889 357.91131449
 224.20073092 108.52829082 100.86119857] | 5",-0.933014988899231
7,"[294.23288712 267.19847929  49.94508895 160.4560744  220.16459456
 263.46845152 289.67142042 208.9298896 ] | 5",-0.9697795510292053
8,"[303.9540085  133.92211453 132.5021865  332.26073031 315.89474328
 305.8496592   64.17499578 170.66017211] | 5",-0.9967784881591797
9,"[311.96815632 219.39392701 288.55041562  44.02305539 226.47565839
 144.78279833 311.54868708 130.20109577] | 5",-0.970928430557251
10,"[162.93486297 142.72925095 339.43505173 224.13402365 341.87503436
  14.33901911  80.24807014 341.84273439] | 5",-0.9201474189758301
11,"[134.74164161  66.09806286   3.01856112 336.06163496 297.4768923
 213.47864532 288.80764055 134.01444503] | 5",-0.9724220037460327
12,"[298.73982843 177.92422856 243.26953991 265.252695   236.22719141
 253.07112775 325.9476411  159.68868898] | 5",-0.9586352705955505
13,"[288.26576066 112.070263    29.23140648  98.13686833 319.28317964
 103.94593056  90.79507067 229.26145713] | 5",-0.9527759552001953
14,"[ 34.44448006 271.93042069 102.21647202 273.76301509 307.54942008
 171.56929761 354.21734328  42.91589539] | 5",-0.9611628651618958
15,"[266.75746081 168.22621052  95.53908785  50.18787485   8.43098061
  28.43659102 262.85055845  96.11050147] | 5",-0.9619671106338501
16,"[346.12427946 339.78471643  92.1811756  267.14226684 239.08197142
  68.07101765  75.58861071 341.94513259] | 5",-0.9613926410675049
17,"[155.33270852 340.80177258 145.57274067 248.67876287 146.22426877
  11.86694825 123.64009802   8.18079078] | 5",-0.9103818535804749
18,"[111.23057684 278.52428532  41.03094076 187.91754663  63.14264001
 255.97807675 230.0993984  305.12378404] | 5",-0.8918846845626831
19,"[  5.84023521 152.18672339 335.37450427 311.78248446  73.30872772
  52.04630102 251.80509072 337.09302084] | 5",-0.9762133359909058
20,"[206.18772893  59.59131047  36.95141903 138.55430784 265.57382318
  36.83649427 354.11625648 175.4439    ] | 5",-0.9812684655189514
21,"[ 32.13520676  84.82457009 129.34936116 358.52914608 222.37753487
  21.60782253 290.52925803 182.35568625] | 5",-0.9823024868965149
22,"[ 35.1118715   21.67907507  82.61959379   3.66932789 119.93648258
  34.39455138 224.75767821   7.87259898] | 5",-0.9713879823684692
23,"[136.70168733  26.05953493  42.37176154 134.08093009 286.35331452
 108.47510095 312.79611868 274.99352831] | 5",-0.9334745407104492
24,"[230.57395312 175.64598162 256.47265075 287.63914544  53.89550644
 259.54454199 156.299795   293.83460513] | 5",-0.9329001307487488
25,"[359.23986825   6.72915701 240.9293805  354.16308426  68.45692333
 215.59507142 118.62612445 181.30289091] | 5",-0.925777018070221
26,"[183.24775996 112.6316499  166.26749987 144.27073905 358.89230724
 322.4892841  246.0432046  147.18296778] | 5",-0.9627712965011597
27,"[332.39711553 156.84435233 213.49048887 330.9787038  115.65482823
 310.11203876 176.42602656 179.99846503] | 5",-0.9857491254806519
28,"[120.01060379 311.32609122  66.353338    98.43966428 328.9279395
  49.86233438 130.67571196 153.21437999] | 5",-0.9430103898048401
29,"[208.71913728 107.32500273 217.43698583 234.50851091 242.32813494
  45.83218126 277.85823259 176.92372879] | 5",-0.9835662245750427
30,"[ 73.67733254 191.06222037 261.99490969 140.2988101   76.37546217
  62.7200562  130.80954268 216.30736817] | 5",-0.980579137802124
31,"[135.83602916  44.78927967 235.14701065 340.18391367 119.3846716
  91.90496275 213.60986009 294.29418124] | 5",-0.9672519564628601
32,"[287.69822658 164.85354507  83.31747519 148.86506579 231.10199504
 172.95851711  28.95951031 225.33483602] | 5",-0.9652988910675049
33,"[ 97.10132969  97.54544225 102.08896605 227.20794027  17.83888317
 147.91908459 354.90026658 340.10324231] | 5",-0.9592097401618958
34,"[285.7067893   76.08313007 212.85083801 355.90575239  47.99483771
 233.47387385  55.66422491 116.92845361] | 5",-0.9412870407104492
35,"[207.11051845 113.48228166 284.03434918  27.18602437 282.35870889
 155.29850657 314.29433434  71.68780772] | 5",-0.9646095037460327
36,"[ 57.35890412  59.18324765 236.56077421  13.64550219 120.9302751
 283.31962453 182.6515359  340.77774398] | 5",-0.9999954104423523
37,"[202.77767502 129.89335477   4.46693006 109.65837294 168.84334179
  90.39580514 301.25768887 211.97314504] | 5",-0.9302576780319214
38,"[ 77.06527029 199.1580609  260.57162486 193.75813383 159.16476248
 328.94888086 208.72674611  64.45201459] | 5",-0.9610479474067688
39,"[172.31758946 117.88010387 106.43117685 316.60182496  34.99915972
 251.53580004  22.98611373 181.24957446] | 5",-0.9411721229553223
40,"[ 92.60520741 134.5341268  344.58724101 204.29235143 113.86488154
 205.93057595 106.91487719   5.01226602] | 5",-0.9512823820114136
41,"[146.92754603 288.14037204  69.14214157 252.66199942 112.6746974
 327.55839095  86.83761809 225.91207216] | 5",-0.9610479474067688
42,"[327.58440031  62.29051927 180.98130193 163.28556587 275.41016985
 114.90289271  41.4682846  139.45518612] | 5",-0.9659882187843323
43,"[ 71.95392555 137.01322592 282.26699675 254.83193686 284.37834483
 148.16133774 239.13331396 177.00612819] | 5",-0.9914935827255249
44,"[ 74.76631058 297.30323474  86.91172564 348.32950165 288.73558205
 265.43601728 330.21685767 208.09612841] | 5",-0.9894255995750427
45,"[211.77387792  64.31259677 279.35997262  34.09880419 355.31456536
  24.50715587 127.80379499  13.89932568] | 5",-0.9797748923301697
46,"[259.63565671 147.22150735 272.22257156 182.46962747 275.61275326
 234.02330793 178.9836592  126.08825638] | 5",-0.9700093269348145
47,"[ 67.14914701 129.39581647 231.44939212 297.31697708 156.47313154
 343.79364133 209.91968965 359.03029072] | 5",-0.9774771332740784
48,"[ 63.00147366 298.87701961  60.19266765 206.35530443  17.606807
 193.36358795 333.89873945  35.02706788] | 5",-0.974834680557251
49,"[120.65050054   6.04091983 240.55508613  31.74169224  69.81233339
 196.45002385 259.25916303 177.85985084] | 5",-0.9602437615394592
50,"[326.05122775 114.63978016  22.99868128 230.33610544 301.78031446
 183.74165094 330.82649987   5.74573954] | 5",-0.9723070859909058
51,"[120.57985908 106.39324198 207.13172937  11.27616421 272.54682477
  72.97206087  39.46257906 342.53053444] | 5",-0.9533503651618958
52,"[327.3121558  167.78821417 272.19622433 302.60826316 354.87192129
  90.94353167 104.41800956 225.50509215] | 5",-0.9797748923301697
53,"[ 44.6190577  167.42920941 268.52558505 274.73064116 268.5484252
 202.34853788 237.7066377  344.69602543] | 5",-0.9999954104423523
54,"[208.8306128  103.06748627  63.75308134 286.07352948 317.32126244
  85.97260195 123.56398239  49.81231007] | 5",-0.9870129227638245
55,"[306.96831442 255.23343587 286.42693713 328.15274035 227.38910056
 343.12058082  58.48230632 263.54400024] | 5",-0.919917643070221
56,"[280.1210606   61.57640933   4.75760925 115.5699053  187.83088884
 308.30974991 180.426523   271.89396114] | 5",-0.9423210620880127
57,"[183.55392    144.76760799 132.33533864 358.38650441 157.94211399
 120.50751372 251.52208866 160.23103332] | 5",-0.9418614506721497
58,"[ 81.57752548  60.68116278  75.77257503  11.5409843  243.46298453
 102.48591297 222.16710676 137.17224638] | 5",-0.9769026637077332
59,"[  1.32037119 177.78617677  75.82380145 117.69372166 269.01867007
 181.66849728 285.22949568 184.61864723] | 5",-0.9721922278404236
