,readable,energies
0,"[270.18752717  77.85820061  26.15219328  22.42288267 111.92137853
 298.83158519  31.53622649 149.26583397] | 5",-0.9839109182357788
1,"[188.59616691 100.01764288 258.46753044  89.22782913 340.69381461
  89.28759328 294.47076895  37.72750611] | 5",-0.9870129227638245
2,"[ 48.59933678  96.15719265 359.61828805   7.8624903    7.53649903
 119.87932437 216.82659915 209.75086468] | 5",-0.9255472421646118
3,"[ 56.27840918 152.79171422 117.64328755 309.58970004  64.46029278
 174.32405315  25.14068324 165.25794691] | 5",-0.9651839733123779
4,"[194.36415238  85.71879212   2.93573825 114.03918797 327.71291715
 118.89150462 163.49006173 170.76661742] | 5",-0.9762133359909058
5,"[200.87015026 329.14961329  73.5986351  262.20959301 334.44241567
 125.81137781 177.89956839 317.88429543] | 5",-0.9520866274833679
6,"[141.99306585 294.68654829 311.18555325 218.75512355 227.26374292
 258.20742318 292.80412766 244.92329264] | 5",-0.9046373963356018
7,"[110.27250621  10.52235721 278.52599969 348.46738951 163.74205109
 235.38952335 170.06315575  64.55915294] | 5",-0.8789021968841553
8,"[ 77.13880411  63.99678249  56.36116375  87.93633598  91.28647546
 312.08070418 282.74931056  42.15285397] | 5",-0.9998804926872253
9,"[264.2256258  324.31810823  80.42151597  98.16319188  19.82918663
  94.36609848 213.11101039 209.79771977] | 5",-0.9293385744094849
10,"[ 40.31202237  65.85721673  12.80559383  38.26523324  98.37681288
 346.53579835 313.36699955 283.57317481] | 5",-0.954269528388977
11,"[289.74539137  86.4610561  157.57887087  40.58685552 219.43130545
  49.46566431 121.49694858 349.61184918] | 5",-0.993791401386261
12,"[201.37818292 274.91545924 277.96360875 184.18821235 235.79989113
 166.03085112 249.86169016 235.51758575] | 5",-0.9702391028404236
13,"[322.16245955 196.69816827 219.7957097   78.46913371 214.64765588
  99.57577063 198.49782749 303.49349666] | 5",-0.8315678834915161
14,"[ 68.21054475 106.79866835  82.17836357 221.56800719 166.63611152
 229.6460446  250.77642325 335.86463864] | 5",-0.9297981262207031
15,"[ 72.94732556 255.31311686  97.95510334 270.02247565   0.96838422
 348.11966458 131.10551208 146.64723507] | 5",-0.9405977129936218
16,"[270.48822261 148.71223348 305.30182339  35.29255733 266.03890442
  87.78284797 299.62625038 142.12799942] | 5",-0.9916085004806519
17,"[313.65577312 323.32980718 114.65150077 144.65630687 134.63585564
  30.253435   324.52612847 255.32184584] | 5",-0.9517419338226318
18,"[206.75284876  46.21990377  85.82175039 208.34381474 226.61067438
 329.8255493  205.19646039 234.75962964] | 5",-0.9512823820114136
19,"[ 72.89890954 128.66493158 232.20249561  83.49522768 142.05506666
  72.72192568 173.98856109 211.00933705] | 5",-0.989885151386261
20,"[144.89102951  68.19521781 244.72284025 349.25181625  76.12736602
 209.29583747 325.37431502 109.8781411 ] | 5",-0.9281896352767944
21,"[181.70594402  46.42177684  27.02406692 290.17081653 316.0568988
  64.376541   199.11436135 179.68181382] | 5",-0.9999954104423523
22,"[163.36109045 124.29555029 324.77999977  73.38795473  47.26458121
  81.55551178 109.2554191   48.05174685] | 5",-0.9669073224067688
23,"[269.05331279  35.52140965 255.67756209 294.38739966 237.26405511
  33.79374062  32.30276496 222.52790467] | 5",-0.9696646332740784
24,"[197.08285818  78.82704929 145.79819155 213.79421372 286.53579668
 350.16142669 229.1417649  173.20825979] | 5",-0.9887362718582153
25,"[200.48154665 111.53089662 308.4657446  174.83208262  83.53934706
 313.35916533  45.65037528 123.31167884] | 5",-0.9751793146133423
26,"[ 94.40075486  22.52907845 252.78936196 226.04178792 149.07065813
 197.02592172 240.33813201 171.3538871 ] | 5",-0.9711582064628601
27,"[248.36685545  51.1333916  212.7354661  172.29495057 291.37994443
 269.56268097 125.99139064 333.82392838] | 5",-0.9847151637077332
28,"[ 93.07894933  32.06135876  73.48073237 288.82154681 312.98338198
 155.83064661 118.11975153 178.27812798] | 5",-0.9988465309143066
29,"[308.04426729 146.67519786 235.20508775  71.37833185 205.64511138
 158.21667758 148.04854764 113.2579614 ] | 5",-0.9579459428787231
30,"[ 75.50554195 133.24035237  54.41879136  54.89548711 315.95160461
 273.351182   130.87289952 232.19434719] | 5",-0.978740930557251
31,"[213.71948781  98.98551934 184.72029775  22.93648557   3.50757535
  95.18755167  38.98330469 313.65101248] | 5",-0.9261216521263123
32,"[ 31.8901669  289.54353879 266.37456724 346.90174623 132.43911653
 162.34865516 226.55747403 119.89108914] | 5",-0.9613926410675049
33,"[ 67.9068199  273.25019082 300.23137782  11.93773633   9.33588505
 264.79064637 212.2723861  131.83312849] | 5",-0.9094627499580383
34,"[319.3611121   48.32173057  50.81850622 127.36717196 340.41037542
 307.84265376  58.74153932  96.62195287] | 5",-0.9659882187843323
35,"[ 68.43014899  38.51195333 241.45511018 277.54513672 225.44416686
 131.64755589  35.45653651  40.51132729] | 5",-0.9450783729553223
