,readable,energies
0,"[101.31126705  35.6916043   64.99736422 342.24607072 312.70893132
 302.45640756 116.78022484 270.87572337] | 5",-0.9556481838226318
1,"[194.13396499 191.14958213 326.79065037 339.16728099 139.99613346
   8.75705384 192.57527484 129.31534318] | 5",-0.9582906365394592
2,"[239.9731777  162.6189221   90.67449052  14.51846867 213.62996133
 307.64931843 208.07310703 163.81136749] | 5",-0.9586352705955505
3,"[173.31059651 228.0907659  132.58544651  73.0908242  211.87210287
 235.71824305  79.36887453  24.64456562] | 5",-0.8806255459785461
4,"[212.80737433  57.68070165 261.61070153 106.44960471 249.16659547
  43.42078297  31.74626847  81.26311822] | 5",-0.951971709728241
5,"[ 54.21365665  31.84522425 153.74511301 215.0277049  152.31249813
 350.40063357  94.63328182  28.90623483] | 5",-0.4150945842266083
6,"[151.9515873  239.93804684 326.37683653 248.4897852  289.42372361
  27.84072532 181.47421938 189.16510801] | 5",-0.5751352310180664
7,"[ 95.74851511 145.27659368 131.32907783 233.54052284   4.77760804
 236.96340384 268.7549428  225.52382053] | 5",-0.9272705316543579
8,"[349.18705922 157.53011698  30.83745716   1.61554464 271.516279
 152.56409498  62.52273204 197.86676901] | 5",-0.9619671106338501
9,"[220.37652167  94.94853603   3.43006636  74.7981939  277.12957435
 203.97342622 156.58742793  93.34644686] | 5",-0.946571946144104
10,"[283.78070328 268.4964338   48.69739097  52.41356029 240.12019433
 227.14145521 280.57978293 314.40250404] | 5",-0.9584054946899414
11,"[113.29473833  68.51416032  66.7969688  166.41630237 155.73321396
 330.58868634 290.6595234  213.21588794] | 5",-0.9852895736694336
12,"[ 76.10490471 185.38837221 244.67319843 270.37149831 185.79077963
 236.42761284 184.76862816  66.98112436] | 5",-0.8839573264122009
13,"[282.93100042 262.22371101 259.24046197 188.01729836 140.04573429
 299.90855576 242.5109108  172.90943537] | 5",-0.9928722977638245
14,"[186.59702882  30.2878455  259.11948566  50.76441112 121.53704543
  59.85267449 192.72028977   3.50648252] | 5",-0.9999954104423523
15,"[106.74047514 162.50116964 105.82581719 259.29017208  20.91518671
  91.06755424 241.06980236 203.96660605] | 5",-0.9549588561058044
16,"[325.32088928 208.27356306  90.55792651 238.54337686 137.68504697
 153.89227991 259.39555507 167.20170583] | 5",-0.9687455296516418
17,"[278.73458684 320.27107088 210.90672029 312.95586998  88.36542577
 241.43041222  58.56873553 207.37384956] | 5",-0.8729279637336731
18,"[325.95677989 135.38790044 112.14488964  45.01668399   3.14515185
 257.35382712 117.11773181 183.3768815 ] | 5",-0.9713879823684692
19,"[172.68686682 350.15040276  85.81041228 228.99953987   8.56338382
  99.26152728 253.85448215  74.17593635] | 5",-0.9177347421646118
20,"[123.50905401 342.13628226 235.28111094  79.22437505 321.58987113
 284.125259   269.44984625   8.67957217] | 5",-0.8971695899963379
21,"[ 36.67508324 233.06993646 231.22790958 295.33517037 179.73374056
 198.09960014 279.03180935 188.50381273] | 5",-0.9169304966926575
22,"[267.23664639 341.54175528 256.33626553  94.09300384 206.03949698
 344.13603871 118.64600394  18.37412411] | 5",-0.912449836730957
23,"[ 75.77235646  94.73174583 109.9177562   33.77281292  44.94142897
 255.61087212 320.05685566 142.1212685 ] | 5",-0.9751793146133423
24,"[ 14.14515785 300.99801191  12.19314442  14.90702447 285.41078257
 196.66846377 131.81800645  77.69368868] | 5",-0.9215260744094849
25,"[300.68266208 248.4328624  251.49435809 169.47597122  41.52806925
 330.06700332 227.60147528 187.26114178] | 5",-0.9603586196899414
26,"[229.14740982 232.8127079  257.27767051 262.1453824  145.0627951
 306.50347223 357.75624188  37.98288688] | 5",-0.9206069707870483
27,"[122.36035279 236.08972702 255.52158425  92.11473152 252.20173346
  83.71712322 110.71722984  17.13527806] | 5",-0.9363467693328857
28,"[207.87872348 185.73739487  56.06573075  19.42570004 226.87824704
 217.09310949  42.510872   117.12613294] | 5",-0.9025693535804749
29,"[ 75.60360981 308.06417046  90.79900486  48.30507857 166.00120127
 154.23281584  43.70810171 207.41575596] | 5",-0.9540397524833679
30,"[ 37.83934362 219.96180624 305.90553015 201.42648602  11.3444661
 139.93106907  17.23986192 272.25550354] | 5",-0.8953313827514648
31,"[332.95981383 190.94339921  72.42156128 144.10307156 143.27768782
 152.5654164  240.13117727  41.89322482] | 5",-0.931406557559967
32,"[150.96609709 123.7565664   56.50335463 321.65667038 294.85353275
 263.33282445  76.64793207 130.38052165] | 5",-0.9661030769348145
33,"[ 17.55687832 105.43522599 229.0957909   33.09238947  17.38445702
 328.28736338 251.87064687 223.19566859] | 5",-0.9430103898048401
34,"[227.80480318 190.06831856 188.60152178  37.321868   321.30578307
 146.50097704 270.12195052   0.6834902 ] | 5",-0.904752254486084
35,"[155.8575266  139.52164021  43.34041896 198.83543008  70.54993918
 194.69134576 258.78364161 185.05141166] | 5",-0.9929871559143066
36,"[147.18968869 118.53725003 134.39802845 222.62194636  23.51087033
 241.02471628 304.94736389 223.23522904] | 5",-0.9411721229553223
37,"[289.10058736 201.23650112 317.54665869  86.50063022 293.92741374
 262.37383857 160.15676185 227.8430659 ] | 5",-0.9697795510292053
38,"[ 34.65080641 176.3126864  125.33556953  86.62846768  27.79403415
  27.8024626  154.34301411  20.43561181] | 5",-0.9885064959526062
39,"[339.05549812  62.73553341 274.66041634  19.90479683 208.86662839
 333.79640272 333.81595755  31.96062713] | 5",-0.9440443515777588
40,"[ 56.02052855  79.50583349 357.31346803 341.72720857  45.88806586
 322.78444389  46.42008296 270.14010517] | 5",-0.9322108030319214
41,"[ 57.68281901  28.19286255  92.40752807 147.45100171  72.66960643
 237.7952799   17.7643658   96.5051498 ] | 5",-0.9064756035804749
42,"[110.50483828 155.49694725 275.66684836 195.79470818 283.79497837
 319.71908231 128.73997852  37.34935951] | 5",-0.9685157537460327
43,"[300.46447851 206.96128883 292.73748551 229.61746708 122.75255591
   7.0364882   13.15826381 138.40805983] | 5",-0.9708135724067688
44,"[197.61012146 166.96456166 305.29987997  60.59420445 163.97803412
 235.23278417 232.67481002 149.11017396] | 5",-0.9471463561058044
45,"[ 26.75931513 139.99105179  91.03807515 102.5506322   52.18241303
 105.75352647 333.39430948 342.92660345] | 5",-0.933359682559967
46,"[187.51269764 160.52918474  37.06098893  39.08267711 118.91908492
 226.77808914 322.60914026  81.60133552] | 5",-0.9188836216926575
47,"[347.52956356 181.05702141 244.44737872 180.79784305   3.74667295
 303.51238213 128.05602022 153.42740357] | 5",-0.9698944091796875
48,"[171.91754528  44.38561549 290.9789167  310.87951979 105.87487161
  39.07396862 281.24541902  10.04670284] | 5",-0.9942509531974792
49,"[112.38303102 111.78336773 111.82031905 223.59383765  59.52069997
 209.69057778 206.28765141 241.15931882] | 5",-0.8984333872795105
50,"[236.25209428 325.02242368 321.12554121 182.78337904 126.41748516
 184.40223951  23.0336655  357.75214376] | 5",-0.9669073224067688
51,"[257.56729785 281.02500882 302.35980137  35.701672   154.95889591
 133.3252926  338.08819307  63.45861822] | 5",-0.8066369295120239
52,"[172.18448273 139.93593217 231.85395789  67.64346146  67.81227642
 283.09669717 183.93273595  91.06669364] | 5",-0.9196878671646118
53,"[122.33058683  98.48763953 262.50130356  77.8937176  334.06339482
  53.81201421  61.70147009 206.8219976 ] | 5",-0.9774771332740784
54,"[ 54.90544553 165.99559004   1.60786751 232.8328606  263.54483352
 292.05555942 243.76565754  17.27049213] | 5",-0.9863235950469971
55,"[201.98071853 230.94051207 135.23040994 279.48119482 139.70768091
 247.17664718  35.58072301 220.45782141] | 5",-0.8983184695243835
56,"[151.40144652 274.27407716 121.04647711  53.43098527 101.73412406
 126.39870214 167.27980221  44.70272751] | 5",-0.891654908657074
57,"[118.64538558  85.43665067  60.93556     26.3662514  274.10190858
  83.45731649 138.29373613 338.9170092 ] | 5",-0.9626564383506775
58,"[191.52648199 222.65449904 115.29572421 271.77969208  52.2924747
 135.94885386  92.59339118   3.60134018] | 5",-0.9662179946899414
59,"[118.0630473    6.35443917 264.55433548 174.69829287 358.65872843
 134.26762648 152.04277396 228.29276556] | 5",-0.9308320879936218
60,"[208.49663704 188.58814827 195.06077703 239.04833274  51.40874384
 168.85323191 308.63393118  61.14979571] | 5",-0.8199640512466431
61,"[167.59083901 112.99401876  27.29081313 326.02154375 266.07560986
  12.29010579 238.93489696 197.31138265] | 5",-0.9681711196899414
62,"[ 81.13867217 336.5099959  104.85651772 342.94677983 140.09004856
 225.8248643  346.16799267 267.90398319] | 5",-0.9439294934272766
63,"[279.6637931  275.89623343 217.9565993   19.76115795 267.72396673
 189.53851445 337.82059992 148.59206313] | 5",-0.9626564383506775
64,"[332.74197178  64.86056919 180.78330841 176.67278764 156.07011305
 336.82416411 145.49413885 198.74648736] | 5",-0.9777069091796875
65,"[ 83.75897862  73.37015161 309.71478129 119.89783737 358.02048824
 323.37916212 303.29728581  87.28332891] | 5",-0.9501335024833679
66,"[ 44.70420283 146.07624491 269.72120966 218.99365425  92.40125796
  20.19591315  40.71557727 339.54729906] | 5",-0.9636904001235962
67,"[220.80425543 177.91539029  83.5574334  259.34283284 128.48521929
 205.99192107 121.13453874   2.13045895] | 5",-0.9759835600852966
68,"[290.23057385  19.85992248 215.60238336 237.2770188  252.81220211
 355.36667287 254.64932492 322.98633062] | 5",-0.9351978898048401
69,"[302.55342357  90.36777404  31.24520579 196.05365113 213.62309699
 219.86977263 298.80259787 312.38660786] | 5",-0.9515121579170227
70,"[355.73716966  42.98022211 266.07112925  33.5431683   24.82550416
  53.65292544 167.81244768  22.94641667] | 5",-0.9718475341796875
71,"[2.65171170e+02 8.25248181e+01 1.90558863e+01 1.30688840e-01
 3.24410900e+01 1.91878288e+02 3.02450595e+02 2.06193688e+02] | 5",-0.9652988910675049
72,"[ 59.26765513  90.80696886 321.89830881 268.91281579  73.53756319
  97.28227507 125.1495425  115.95355339] | 5",-0.9479506015777588
73,"[ 50.03927726 328.81873844  12.10092321 186.2569364  208.12347648
 233.93170143 255.60605001 330.47760014] | 5",-0.6633701324462891
