,readable,energies
0,"[ 20.94661924 125.2895204   77.64434739  16.93839103 266.50996207
 290.20748782 146.94656128 359.1414179 ] | 5",-0.9214112162590027
1,"[305.50652416 259.51563663  48.59829859  70.56735616 263.59720377
 110.1393412  191.19583253  29.31250814] | 5",-0.9450783729553223
2,"[242.34119426 108.24162778 219.55229542 148.76020873 354.15486071
 244.09510124 270.22197181 179.23324797] | 5",-0.9347383379936218
3,"[269.57795328  77.65444241  84.53936872 241.99133831  71.16540753
 101.26689814 344.79457823 102.56179273] | 5",-0.884302020072937
4,"[ 94.45161245 238.87052926 100.45343627 332.91141511 200.4258328
 313.27175257  22.89856436 285.82377678] | 5",-0.9009609222412109
5,"[284.89917408  56.23908095 280.60690562 322.26623061 163.37852474
 247.04261837 287.99131    134.83341567] | 5",-0.9308320879936218
6,"[135.18012609 320.62671883  76.86357481 264.18998587 182.62383948
 356.09433391 214.75817198   1.61885046] | 5",-0.8859104514122009
7,"[ 11.42862769  43.15006159  44.94701606  70.82562975  92.60411458
 356.68336942 304.81977596 124.19018779] | 5",-0.9567970633506775
8,"[ 47.70469128 113.7281448  277.54806004 269.75034361 322.39867481
 145.00968355 265.88945988 329.49037143] | 5",-0.9775919914245605
9,"[338.16204107 308.61701963 220.61245006   4.01108323 334.52851704
 167.28492849  55.173066   267.33923219] | 5",-0.8286956548690796
10,"[252.0129402   67.64108456 233.23499482   4.97376424 305.32158996
 132.84054406 265.44815453 125.38691207] | 5",-0.9646095037460327
11,"[110.33192521  22.36376055  85.07510143 262.44319231  53.48516233
 151.11684256 273.31981777 192.64431439] | 5",-0.9659882187843323
12,"[ 85.19043601 111.63056274 126.89154127  97.23743487 261.97641718
 195.57662388  18.67355961 306.7644401 ] | 5",-0.9617372751235962
13,"[304.94883921  62.70649145  83.50929423 300.94218195  49.49181027
  67.02959138 320.07653343 185.4668611 ] | 5",-0.9999954104423523
14,"[291.48247923  99.17982456 200.78112877  10.83884768 130.83122534
  28.85701649 204.90349308 115.72933194] | 5",-0.9489846229553223
15,"[267.37150165  94.91192622 357.70964633 342.61372615 125.76633272
 340.72812948 258.99018335 338.3819595 ] | 5",-0.9579459428787231
16,"[ 96.28642347 104.97095071 133.89830449  71.97884208  11.67674114
 138.02331528 273.89806842 192.13680401] | 5",-0.9732262492179871
17,"[133.35090581  48.79245354 255.60092372 285.93096977  24.58997875
 185.76293614 259.75013751  84.08708725] | 5",-0.9708135724067688
18,"[150.62599784 300.26170386  67.1466335   19.21303527 306.08740443
  94.18513945 287.01113004 169.32764   ] | 5",-0.9654137492179871
19,"[323.01182089 282.44581111 253.51949552 292.5435901  313.33913238
 267.03795619 123.82725886  97.895749  ] | 5",-0.9682859778404236
20,"[ 53.64493412 347.26289931 129.19201728  67.53277142  56.28104563
 308.43672996 257.14272646 355.36609914] | 5",-0.9701241850852966
21,"[174.53716507 117.60073547 215.71181665 277.84108881 268.34761764
  78.45119764  40.10558673 111.95817959] | 5",-0.9677115678787231
22,"[185.88175775 119.79733797 294.09816483  94.75679896 290.11697415
 249.33926948 155.86096901 205.69928844] | 5",-0.9872426986694336
23,"[152.36112544  64.10009593  57.16697581 229.19850328  87.7570335
 334.90431405 281.18314819 106.39115559] | 5",-0.9659882187843323
24,"[ 37.06936274 357.9975388  139.4763424  218.63474147  70.92793551
 110.46505926 228.22741431 296.65506345] | 5",-0.8629326224327087
25,"[137.11175823 246.92013942  72.62478673 329.96219407  13.87081647
 203.23659543  71.1464879   89.48191217] | 5",-0.9061309695243835
26,"[340.55262094  18.10594357  81.65273953 164.53133773 206.2529199
  68.48974922  65.51465542 195.45478697] | 5",-0.965528666973114
27,"[207.17656638 126.20998401 157.57271368 124.87957244 280.21698378
 214.17290673 138.69149902 205.1706491 ] | 5",-0.9625415205955505
28,"[219.61672778  70.22999946 264.67214258 191.67256972 104.56900774
 171.9646836  238.4827521   76.63386188] | 5",-0.9860938191413879
29,"[303.51031941  83.65066548 210.32573438 218.25626702 168.06099826
  14.23662774 305.10683515 325.56341564] | 5",-0.9216409921646118
30,"[215.98719622  45.76392034 243.37800332 119.29589644  65.83059265
 174.3988674  129.5232678  261.45004182] | 5",-0.954269528388977
31,"[329.21580466 290.08809611 127.46893814 208.21007964 271.30273314
 226.70094216   6.5610524  185.51522248] | 5",-0.8723534941673279
32,"[301.20675615 116.14045468 198.25790662 330.06515234 324.47196507
 274.14196764 106.78864164  44.59259754] | 5",-0.959784209728241
33,"[272.71802346  94.98580154 238.51718991 128.00424739  76.19657951
 156.42216467 236.55553226 338.73059968] | 5",-0.9749495387077332
34,"[271.11821558 102.36277468 237.39677934 283.69653486 104.1407822
 109.98171409 257.61536872 190.72358323] | 5",-0.9846002459526062
35,"[111.4690151  114.40801818 245.55496219  89.31865698  96.22194284
 257.88704268 131.63309957  52.77748643] | 5",-0.9057862758636475
36,"[173.59948938 200.82980069  71.31404611 242.94354865 304.92692797
 131.45122529 134.8932035  223.33952603] | 5",-0.9589799642562866
37,"[126.41557635 126.76949945  28.58684153 112.29524943 234.71957741
 243.53311327 167.83441357   4.9782107 ] | 5",-0.857532799243927
38,"[ 71.82443882  26.11895757   6.36181578 206.70061148 323.27578038
   6.79054675 267.4998409  107.60998554] | 5",-0.6619914174079895
39,"[202.38853547  97.78022318 202.65443473 321.42067368 331.08260464
 263.02597137 144.78290761 276.95504935] | 5",-0.9420912265777588
40,"[251.26165355  84.97188361 198.17264218 180.19768799 224.54895764
 113.87184833 342.40054911 262.61503987] | 5",-0.927615225315094
41,"[226.88950319 151.77949385 231.04687541  56.17601098 356.41435559
 251.48979552  13.41222391   3.61769849] | 5",-0.9477208256721497
42,"[257.71817673  87.48831655  93.73452819 293.30545672   7.5135496
 277.75039756 165.89108815 115.09714329] | 5",-0.9648393392562866
43,"[256.35339565 152.87792487 276.50274057  57.44674035 209.51551002
 357.27527362 200.28652426 165.70651276] | 5",-0.9564524292945862
44,"[132.42449993  69.73669588  76.84051609 357.98176106 284.6689284
 167.57235287 148.47696078  19.69465923] | 5",-0.9686306715011597
45,"[ 31.95920645  26.45105503  90.44749601 147.92379742 308.0022343
 180.07295143  55.37674224 231.4912712 ] | 5",-0.9700093269348145
46,"[330.17929846 135.81792916  97.87303179 136.46812218 291.4179476
  80.65906995  23.3742324   38.8336006 ] | 5",-0.9701241850852966
47,"[350.60045759 127.4846749  301.66523943 341.357709   128.33868077
 190.57568232  19.42403347  22.77810715] | 5",-0.9610479474067688
48,"[152.28087436 151.3142077  175.42276421 156.72265202 259.49552855
 349.36402942 311.44526436 185.27971392] | 5",-0.9837960004806519
49,"[ 60.34156577 140.03269227 214.53722902  33.63698778 114.92911062
  97.09900743 210.1048834   30.64044718] | 5",-0.993676483631134
50,"[152.64486516 111.12360242 104.91108775 346.31561355 238.19641008
   8.13114213  16.47031816  49.40719789] | 5",-0.9127945303916931
51,"[313.27337815 113.93902006  93.50199759  95.15730759 143.22740033
 225.62270801   1.59616057 295.89315585] | 5",-0.9562225937843323
52,"[161.78851134 283.71771527 167.41122871 151.11591365 251.88688906
 141.81594174 267.78340303 288.47416339] | 5",-0.8222618699073792
53,"[319.36775104 100.59263553  99.10295761  24.00262346  30.43932543
 128.0162412  272.33943974 304.6708915 ] | 5",-0.9530057311058044
54,"[ 37.92735744 108.59491248 240.2181529   19.78517289 163.10233921
  97.7082603  292.33867076 335.99025948] | 5",-0.953924834728241
55,"[290.39193024  20.29944516 300.1332963  172.00708542 308.87154663
 315.89352068  57.25498962  46.57230055] | 5",-0.9405977129936218
